Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	strict_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Molecular Function	number	overUnder	pvalue	fdr
catalytic activity (GO:0003824)	625	+	3.30E-05	1.38E-02
glucosidase activity (GO:0015926)	5	+	1.15E-03	2.40E-01
oxidoreductase activity (GO:0016491)	135	+	1.17E-03	1.63E-01
phosphoric ester hydrolase activity (GO:0042578)	36	+	2.01E-03	2.11E-01
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	97	+	2.18E-03	1.83E-01
protein serine/threonine phosphatase activity (GO:0004722)	9	+	2.91E-03	2.03E-01
hydrolase activity (GO:0016787)	158	+	4.19E-03	2.51E-01
transferase activity (GO:0016740)	262	+	4.26E-03	2.23E-01
kinase activity (GO:0016301)	103	+	4.44E-03	2.07E-01
phosphoric diester hydrolase activity (GO:0008081)	7	+	6.20E-03	2.60E-01
protein serine/threonine kinase activity (GO:0004674)	71	+	6.56E-03	2.50E-01
protein kinase activity (GO:0004672)	79	+	9.45E-03	3.30E-01
catalytic activity, acting on a protein (GO:0140096)	188	+	1.01E-02	3.26E-01
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	19	+	1.02E-02	3.06E-01
carbohydrate kinase activity (GO:0019200)	4	+	1.06E-02	2.95E-01
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	17	+	1.13E-02	2.95E-01
molecular_function (GO:0003674)	1050	+	1.14E-02	2.80E-01
hydrolase activity, acting on glycosyl bonds (GO:0016798)	22	+	1.32E-02	3.07E-01
transferase activity, transferring phosphorus-containing groups (GO:0016772)	125	+	1.56E-02	3.44E-01
chitinase activity (GO:0004568)	3	+	1.85E-02	3.87E-01
phospholipase activity (GO:0004620)	6	+	1.93E-02	3.86E-01
catalytic activity, acting on a nucleic acid (GO:0140640)	41	-	1.94E-02	3.69E-01
antioxidant activity (GO:0016209)	20	+	1.95E-02	3.55E-01
hexosyltransferase activity (GO:0016758)	21	+	2.90E-02	5.06E-01
transmembrane transporter activity (GO:0022857)	116	+	3.16E-02	5.30E-01
structural constituent of cytoskeleton (GO:0005200)	2	+	3.27E-02	5.26E-01
nucleic acid binding (GO:0003676)	169	-	3.31E-02	5.14E-01
phosphatase activity (GO:0016791)	29	+	3.52E-02	5.26E-01
phosphoprotein phosphatase activity (GO:0004721)	12	+	4.11E-02	5.94E-01
transporter activity (GO:0005215)	122	+	4.36E-02	6.10E-01
organic cyclic compound binding (GO:0097159)	206	-	4.46E-02	6.02E-01
transaminase activity (GO:0008483)	6	+	4.51E-02	5.90E-01
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	2	+	5.00E-02	6.34E-01
catalytic activity, acting on DNA (GO:0140097)	10	-	5.08E-02	6.25E-01
P-type ion transporter activity (GO:0015662)	4	+	5.27E-02	6.31E-01
ATPase-coupled transmembrane transporter activity (GO:0042626)	17	+	5.31E-02	6.18E-01
Unclassified (UNCLASSIFIED)	1580	-	5.37E-02	6.08E-01
protein phosphatase inhibitor activity (GO:0004864)	2	+	5.89E-02	6.49E-01
hormone binding (GO:0042562)	2	+	5.89E-02	6.33E-01
organic acid binding (GO:0043177)	2	+	5.89E-02	6.17E-01
phosphatase inhibitor activity (GO:0019212)	2	+	5.89E-02	6.02E-01
carboxylic acid binding (GO:0031406)	2	+	5.89E-02	5.87E-01
RNA binding (GO:0003723)	86	-	5.91E-02	5.76E-01
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	7	+	6.70E-02	6.38E-01
cysteine-type endopeptidase activity (GO:0004197)	7	+	7.33E-02	6.82E-01
inorganic molecular entity transmembrane transporter activity (GO:0015318)	35	+	7.88E-02	7.18E-01
primary active transmembrane transporter activity (GO:0015399)	18	+	8.29E-02	7.39E-01
glycosyltransferase activity (GO:0016757)	29	+	8.33E-02	7.27E-01
molecular function activator activity (GO:0140677)	12	-	8.40E-02	7.18E-01
sulfotransferase activity (GO:0008146)	2	+	8.96E-02	7.51E-01
signaling receptor activity (GO:0038023)	6	+	9.39E-02	7.72E-01
mannosyltransferase activity (GO:0000030)	1	+	9.62E-02	7.75E-01
ATPase-coupled monoatomic cation transmembrane transporter activity (GO:0019829)	6	+	9.73E-02	7.69E-01
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	3	+	9.88E-02	7.67E-01
ubiquitin conjugating enzyme activity (GO:0061631)	6	+	9.91E-02	7.55E-01
peptide transmembrane transporter activity (GO:1904680)	1	+	1.02E-01	7.61E-01
hexokinase activity (GO:0004396)	1	+	1.02E-01	7.48E-01
amide transmembrane transporter activity (GO:0042887)	1	+	1.02E-01	7.35E-01
alpha-glucosidase activity (GO:0090599)	1	+	1.02E-01	7.22E-01
water transmembrane transporter activity (GO:0005372)	1	+	1.02E-01	7.10E-01
oligopeptide transmembrane transporter activity (GO:0035673)	1	+	1.02E-01	6.99E-01
SNAP receptor activity (GO:0005484)	7	-	1.02E-01	6.89E-01
enzyme activator activity (GO:0008047)	11	-	1.05E-01	7.01E-01
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	26	+	1.09E-01	7.14E-01
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	26	+	1.09E-01	7.03E-01
hydrolase activity, acting on ester bonds (GO:0016788)	62	+	1.11E-01	7.03E-01
cysteine-type peptidase activity (GO:0008234)	13	+	1.12E-01	6.99E-01
lipase activity (GO:0016298)	8	+	1.12E-01	6.92E-01
active monoatomic ion transmembrane transporter activity (GO:0022853)	11	+	1.14E-01	6.92E-01
glucosyltransferase activity (GO:0046527)	9	+	1.14E-01	6.82E-01
active transmembrane transporter activity (GO:0022804)	32	+	1.16E-01	6.82E-01
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	15	+	1.17E-01	6.79E-01
ubiquitin protein ligase binding (GO:0031625)	5	+	1.21E-01	6.94E-01
ATP-dependent activity, acting on DNA (GO:0008094)	6	-	1.30E-01	7.36E-01
inorganic cation transmembrane transporter activity (GO:0022890)	29	+	1.39E-01	7.75E-01
calmodulin binding (GO:0005516)	3	+	1.43E-01	7.87E-01
aminopeptidase activity (GO:0004177)	2	+	1.47E-01	8.00E-01
metalloaminopeptidase activity (GO:0070006)	2	+	1.47E-01	7.90E-01
histone deacetylase activity (GO:0004407)	2	+	1.47E-01	7.80E-01
metalloexopeptidase activity (GO:0008235)	2	+	1.47E-01	7.70E-01
deacetylase activity (GO:0019213)	2	+	1.47E-01	7.60E-01
molecular adaptor activity (GO:0060090)	16	-	1.51E-01	7.73E-01
protein-macromolecule adaptor activity (GO:0030674)	16	-	1.51E-01	7.63E-01
SNARE binding (GO:0000149)	11	-	1.52E-01	7.59E-01
L-lysine transmembrane transporter activity (GO:0015189)	1	+	1.53E-01	7.54E-01
neutral L-amino acid transmembrane transporter activity (GO:0015175)	1	+	1.53E-01	7.45E-01
basic amino acid transmembrane transporter activity (GO:0015174)	1	+	1.53E-01	7.37E-01
acidic amino acid transmembrane transporter activity (GO:0015172)	1	+	1.53E-01	7.28E-01
chloride transmembrane transporter activity (GO:0015108)	1	+	1.53E-01	7.20E-01
UDP-galactose transmembrane transporter activity (GO:0005459)	1	+	1.53E-01	7.12E-01
L-glutamate transmembrane transporter activity (GO:0005313)	1	+	1.53E-01	7.04E-01
catalytic activity, acting on RNA (GO:0140098)	29	-	1.57E-01	7.16E-01
GTPase activator activity (GO:0005096)	5	-	1.67E-01	7.51E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	24	+	1.69E-01	7.54E-01
carboxy-lyase activity (GO:0016831)	5	+	1.73E-01	7.63E-01
metallopeptidase activity (GO:0008237)	5	+	1.73E-01	7.55E-01
binding (GO:0005488)	341	-	1.83E-01	7.92E-01
molecular transducer activity (GO:0060089)	7	+	1.88E-01	8.03E-01
glutathione transferase activity (GO:0004364)	7	+	1.93E-01	8.16E-01
sequence-specific DNA binding (GO:0043565)	59	-	1.93E-01	8.08E-01
L-amino acid transmembrane transporter activity (GO:0015179)	3	+	1.96E-01	8.14E-01
nucleotide-sugar transmembrane transporter activity (GO:0005338)	3	+	1.96E-01	8.06E-01
monoatomic ion transmembrane transporter activity (GO:0015075)	36	+	1.98E-01	8.05E-01
nucleotidyltransferase activity (GO:0016779)	15	-	1.98E-01	7.97E-01
cullin family protein binding (GO:0097602)	3	+	2.01E-01	8.01E-01
phospholipase C activity (GO:0004629)	1	+	2.14E-01	8.46E-01
cyclin-dependent protein kinase activity (GO:0097472)	1	+	2.14E-01	8.38E-01
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	1	+	2.14E-01	8.30E-01
secondary active monocarboxylate transmembrane transporter activity (GO:0015355)	1	+	2.14E-01	8.22E-01
cyclin binding (GO:0030332)	1	+	2.14E-01	8.15E-01
phospholipid transporter activity (GO:0005548)	4	-	2.16E-01	8.16E-01
lipid transfer activity (GO:0120013)	4	-	2.16E-01	8.08E-01
N-methyltransferase activity (GO:0008170)	4	-	2.16E-01	8.01E-01
carbohydrate transmembrane transporter activity (GO:0015144)	4	+	2.25E-01	8.28E-01
