Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	strict_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Biological Process	number	overUnder	pvalue	fdr
nucleic acid metabolic process (GO:0090304)	94	-	7.21E-06	7.44E-03
RNA metabolic process (GO:0016070)	81	-	1.39E-05	7.17E-03
phosphate-containing compound metabolic process (GO:0006796)	135	+	1.75E-04	6.02E-02
nucleobase-containing compound metabolic process (GO:0006139)	126	-	2.60E-04	6.71E-02
phosphorus metabolic process (GO:0006793)	137	+	2.94E-04	6.06E-02
gene expression (GO:0010467)	114	-	4.28E-04	7.36E-02
RNA processing (GO:0006396)	45	-	6.27E-04	9.24E-02
macromolecule biosynthetic process (GO:0009059)	134	-	1.09E-03	1.41E-01
organic cyclic compound metabolic process (GO:1901360)	156	-	1.39E-03	1.60E-01
cellular nitrogen compound metabolic process (GO:0034641)	164	-	1.50E-03	1.55E-01
cellular aromatic compound metabolic process (GO:0006725)	148	-	1.87E-03	1.75E-01
carbohydrate metabolic process (GO:0005975)	36	+	1.87E-03	1.61E-01
ncRNA metabolic process (GO:0034660)	34	-	1.94E-03	1.54E-01
response to oxygen-containing compound (GO:1901700)	13	+	2.00E-03	1.47E-01
heterocycle metabolic process (GO:0046483)	139	-	2.30E-03	1.59E-01
mitotic cell cycle (GO:0000278)	13	+	2.77E-03	1.79E-01
signaling (GO:0023052)	53	+	3.03E-03	1.84E-01
signal transduction (GO:0007165)	53	+	3.03E-03	1.74E-01
protein phosphorylation (GO:0006468)	70	+	4.50E-03	2.45E-01
phosphorylation (GO:0016310)	73	+	4.71E-03	2.43E-01
cell communication (GO:0007154)	56	+	4.72E-03	2.32E-01
cellular response to oxygen-containing compound (GO:1901701)	6	+	5.72E-03	2.69E-01
secondary metabolite biosynthetic process (GO:0044550)	3	+	5.74E-03	2.57E-01
response to stimulus (GO:0050896)	142	+	1.01E-02	4.32E-01
organophosphate catabolic process (GO:0046434)	13	+	1.03E-02	4.27E-01
protein modification process (GO:0036211)	142	+	1.12E-02	4.45E-01
ncRNA processing (GO:0034470)	21	-	1.19E-02	4.55E-01
RNA splicing (GO:0008380)	22	-	1.26E-02	4.63E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	22	-	1.26E-02	4.47E-01
RNA splicing, via transesterification reactions (GO:0000375)	22	-	1.26E-02	4.32E-01
mRNA metabolic process (GO:0016071)	33	-	1.35E-02	4.49E-01
rRNA metabolic process (GO:0016072)	20	-	1.47E-02	4.74E-01
mRNA splicing, via spliceosome (GO:0000398)	21	-	1.55E-02	4.85E-01
response to reactive oxygen species (GO:0000302)	4	+	1.59E-02	4.83E-01
import into cell (GO:0098657)	7	+	1.64E-02	4.83E-01
carbohydrate catabolic process (GO:0016052)	17	+	1.65E-02	4.73E-01
ribonucleoprotein complex biogenesis (GO:0022613)	43	-	1.72E-02	4.79E-01
response to lipid (GO:0033993)	4	+	1.83E-02	4.96E-01
mRNA processing (GO:0006397)	24	-	1.88E-02	4.97E-01
mitotic cell cycle process (GO:1903047)	11	+	1.90E-02	4.91E-01
oligosaccharide biosynthetic process (GO:0009312)	2	+	2.13E-02	5.37E-01
peptidyl-serine phosphorylation (GO:0018105)	9	+	2.14E-02	5.27E-01
peptidyl-serine modification (GO:0018209)	9	+	2.14E-02	5.15E-01
endocytosis (GO:0006897)	6	+	2.36E-02	5.54E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	29	-	2.38E-02	5.46E-01
cellular response to lipid (GO:0071396)	3	+	2.39E-02	5.35E-01
cell cycle (GO:0007049)	18	+	2.44E-02	5.35E-01
cellular response to stimulus (GO:0051716)	86	+	2.44E-02	5.25E-01
organic substance biosynthetic process (GO:1901576)	221	-	2.49E-02	5.25E-01
cellular component assembly (GO:0022607)	46	-	2.66E-02	5.48E-01
cytokinesis (GO:0000910)	5	+	2.77E-02	5.60E-01
organophosphate metabolic process (GO:0019637)	48	+	2.77E-02	5.50E-01
cellular biosynthetic process (GO:0044249)	214	-	2.79E-02	5.42E-01
rRNA processing (GO:0006364)	17	-	2.79E-02	5.33E-01
protein-RNA complex organization (GO:0071826)	24	-	3.17E-02	5.95E-01
response to organic substance (GO:0010033)	16	+	3.22E-02	5.93E-01
secondary metabolic process (GO:0019748)	6	+	3.35E-02	6.07E-01
regulation of RNA biosynthetic process (GO:2001141)	71	-	3.54E-02	6.30E-01
regulation of DNA-templated transcription (GO:0006355)	71	-	3.54E-02	6.20E-01
protein-RNA complex assembly (GO:0022618)	23	-	3.88E-02	6.67E-01
peptidyl-amino acid modification (GO:0018193)	21	+	3.90E-02	6.59E-01
response to chemical (GO:0042221)	25	+	3.99E-02	6.64E-01
mitotic cell cycle phase transition (GO:0044772)	4	+	4.03E-02	6.61E-01
cell cycle phase transition (GO:0044770)	4	+	4.03E-02	6.51E-01
plant organ development (GO:0099402)	2	+	4.33E-02	6.87E-01
response to abscisic acid (GO:0009737)	3	+	4.46E-02	6.97E-01
biosynthetic process (GO:0009058)	227	-	4.68E-02	7.21E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	79	-	4.79E-02	7.27E-01
regulation of RNA metabolic process (GO:0051252)	79	-	4.79E-02	7.16E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	11	+	5.07E-02	7.47E-01
nucleoside triphosphate metabolic process (GO:0009141)	11	+	5.07E-02	7.36E-01
RNA modification (GO:0009451)	10	-	5.08E-02	7.27E-01
glycolytic process (GO:0006096)	8	+	5.23E-02	7.39E-01
nucleotide catabolic process (GO:0009166)	8	+	5.23E-02	7.29E-01
purine ribonucleotide catabolic process (GO:0009154)	8	+	5.23E-02	7.20E-01
nucleoside diphosphate catabolic process (GO:0009134)	8	+	5.23E-02	7.10E-01
nucleoside diphosphate metabolic process (GO:0009132)	8	+	5.23E-02	7.01E-01
purine nucleotide catabolic process (GO:0006195)	8	+	5.23E-02	6.92E-01
nucleoside phosphate catabolic process (GO:1901292)	8	+	5.23E-02	6.83E-01
ribonucleotide catabolic process (GO:0009261)	8	+	5.23E-02	6.75E-01
pyridine-containing compound metabolic process (GO:0072524)	16	+	5.35E-02	6.82E-01
DNA-templated transcription (GO:0006351)	14	-	5.37E-02	6.76E-01
RNA biosynthetic process (GO:0032774)	14	-	5.37E-02	6.68E-01
macromolecule modification (GO:0043412)	153	+	5.70E-02	7.00E-01
hormone biosynthetic process (GO:0042446)	3	+	5.70E-02	6.92E-01
carbohydrate biosynthetic process (GO:0016051)	16	+	5.76E-02	6.91E-01
non-membrane-bounded organelle assembly (GO:0140694)	17	-	6.38E-02	7.57E-01
cellular modified amino acid metabolic process (GO:0006575)	10	+	6.46E-02	7.58E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	76	-	6.50E-02	7.54E-01
mitotic cytokinesis (GO:0000281)	4	+	6.56E-02	7.53E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	4	+	6.56E-02	7.44E-01
beta-glucan biosynthetic process (GO:0051274)	4	+	6.56E-02	7.36E-01
regulation of protein modification process (GO:0031399)	4	+	6.68E-02	7.41E-01
