




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non-TAGs_OB2GO_Overrep.txt (Oryza sativa)
Reference List:	Oryza sativa (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Oryza sativa - REFLIST (43658)	non-TAGs_OB2GO_Overrep.txt (14845)	non-TAGs_OB2GO_Overrep.txt (expected)	non-TAGs_OB2GO_Overrep.txt (over/under)	non-TAGs_OB2GO_Overrep.txt (fold Enrichment)	non-TAGs_OB2GO_Overrep.txt (raw P-value)	non-TAGs_OB2GO_Overrep.txt (FDR)
sphingolipid catabolic process (GO:0030149)	4	4	1.36	+	2.94	1.34E-02	3.74E-02
phosphatidylcholine metabolic process (GO:0046470)	4	4	1.36	+	2.94	1.34E-02	3.73E-02
regulation of membrane potential (GO:0042391)	4	4	1.36	+	2.94	1.34E-02	3.72E-02
developmental growth (GO:0048589)	4	4	1.36	+	2.94	1.34E-02	3.72E-02
phosphatidylcholine biosynthetic process (GO:0006656)	4	4	1.36	+	2.94	1.34E-02	3.71E-02
NLS-bearing protein import into nucleus (GO:0006607)	8	8	2.72	+	2.94	1.78E-04	7.88E-04
regulation of double-strand break repair (GO:2000779)	4	4	1.36	+	2.94	1.34E-02	3.70E-02
developmental growth involved in morphogenesis (GO:0060560)	4	4	1.36	+	2.94	1.34E-02	3.69E-02
negative regulation of RNA catabolic process (GO:1902369)	4	4	1.36	+	2.94	1.34E-02	3.69E-02
unidimensional cell growth (GO:0009826)	4	4	1.36	+	2.94	1.34E-02	3.68E-02
protein K63-linked ubiquitination (GO:0070534)	5	5	1.70	+	2.94	4.54E-03	1.45E-02
plastid membrane organization (GO:0009668)	6	6	2.04	+	2.94	1.54E-03	5.80E-03
protein insertion into membrane (GO:0051205)	5	5	1.70	+	2.94	4.54E-03	1.45E-02
tyrosine metabolic process (GO:0006570)	5	5	1.70	+	2.94	4.54E-03	1.44E-02
thylakoid membrane organization (GO:0010027)	6	6	2.04	+	2.94	1.54E-03	5.78E-03
actin filament bundle organization (GO:0061572)	11	10	3.74	+	2.67	1.57E-04	7.06E-04
actin filament bundle assembly (GO:0051017)	11	10	3.74	+	2.67	1.57E-04	7.03E-04
nucleus organization (GO:0006997)	9	8	3.06	+	2.61	1.12E-03	4.28E-03
Golgi to vacuole transport (GO:0006896)	8	7	2.72	+	2.57	2.95E-03	1.01E-02
programmed cell death (GO:0012501)	7	6	2.38	+	2.52	7.66E-03	2.35E-02
defense response to bacterium (GO:0042742)	7	6	2.38	+	2.52	7.66E-03	2.34E-02
cell death (GO:0008219)	7	6	2.38	+	2.52	7.66E-03	2.34E-02
response to bacterium (GO:0009617)	7	6	2.38	+	2.52	7.66E-03	2.33E-02
regionalization (GO:0003002)	7	6	2.38	+	2.52	7.66E-03	2.33E-02
mitochondrial calcium ion homeostasis (GO:0051560)	7	6	2.38	+	2.52	7.66E-03	2.32E-02
cell fate specification (GO:0001708)	7	6	2.38	+	2.52	7.66E-03	2.32E-02
actin polymerization or depolymerization (GO:0008154)	13	11	4.42	+	2.49	2.59E-04	1.11E-03
aromatic amino acid family catabolic process (GO:0009074)	19	16	6.46	+	2.48	9.71E-06	5.39E-05
peptidyl-threonine phosphorylation (GO:0018107)	18	15	6.12	+	2.45	2.42E-05	1.27E-04
monocarboxylic acid transport (GO:0015718)	12	10	4.08	+	2.45	6.51E-04	2.61E-03
actin filament depolymerization (GO:0030042)	12	10	4.08	+	2.45	6.51E-04	2.60E-03
clathrin-dependent endocytosis (GO:0072583)	23	19	7.82	+	2.43	2.33E-06	1.39E-05
receptor-mediated endocytosis (GO:0006898)	28	23	9.52	+	2.42	2.29E-07	1.59E-06
MAPK cascade (GO:0000165)	11	9	3.74	+	2.41	1.61E-03	6.00E-03
