




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non-TAGs_OB2GO_Overrep.txt (Oryza sativa)
Reference List:	Oryza sativa (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Oryza sativa - REFLIST (43658)	non-TAGs_OB2GO_Overrep.txt (14845)	non-TAGs_OB2GO_Overrep.txt (expected)	non-TAGs_OB2GO_Overrep.txt (over/under)	non-TAGs_OB2GO_Overrep.txt (fold Enrichment)	non-TAGs_OB2GO_Overrep.txt (raw P-value)	non-TAGs_OB2GO_Overrep.txt (FDR)
potassium channel activity (GO:0005267)	4	4	1.36	+	2.94	1.34E-02	3.10E-02
voltage-gated potassium channel activity (GO:0005249)	4	4	1.36	+	2.94	1.34E-02	3.09E-02
chloride transmembrane transporter activity (GO:0015108)	4	4	1.36	+	2.94	1.34E-02	3.07E-02
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	4	4	1.36	+	2.94	1.34E-02	3.06E-02
protein kinase A binding (GO:0051018)	4	4	1.36	+	2.94	1.34E-02	3.04E-02
protein kinase A regulatory subunit binding (GO:0034237)	4	4	1.36	+	2.94	1.34E-02	3.03E-02
protein tyrosine kinase activity (GO:0004713)	4	4	1.36	+	2.94	1.34E-02	3.01E-02
voltage-gated monoatomic cation channel activity (GO:0022843)	4	4	1.36	+	2.94	1.34E-02	3.00E-02
MAP kinase kinase kinase activity (GO:0004709)	10	9	3.40	+	2.65	4.21E-04	1.37E-03
protein serine/threonine kinase activator activity (GO:0043539)	9	8	3.06	+	2.61	1.12E-03	3.34E-03
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	15	13	5.10	+	2.55	3.99E-05	1.67E-04
kinase activator activity (GO:0019209)	15	13	5.10	+	2.55	3.99E-05	1.65E-04
protein kinase activator activity (GO:0030295)	15	13	5.10	+	2.55	3.99E-05	1.64E-04
alpha-glucosidase activity (GO:0090599)	7	6	2.38	+	2.52	7.66E-03	1.93E-02
clathrin binding (GO:0030276)	32	26	10.88	+	2.39	5.50E-08	3.60E-07
aminopeptidase activity (GO:0004177)	10	8	3.40	+	2.35	3.92E-03	1.06E-02
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	20	16	6.80	+	2.35	3.31E-05	1.41E-04
phosphatidylinositol binding (GO:0035091)	24	19	8.16	+	2.33	7.59E-06	3.68E-05
phosphatidylinositol phosphate binding (GO:1901981)	19	15	6.46	+	2.32	7.85E-05	3.05E-04
fucosyltransferase activity (GO:0008417)	19	15	6.46	+	2.32	7.85E-05	3.02E-04
phosphatidylinositol bisphosphate binding (GO:1902936)	19	15	6.46	+	2.32	7.85E-05	3.00E-04
structural constituent of cytoskeleton (GO:0005200)	14	11	4.76	+	2.31	8.36E-04	2.53E-03
acetylglucosaminyltransferase activity (GO:0008375)	9	7	3.06	+	2.29	9.36E-03	2.32E-02
inorganic anion transmembrane transporter activity (GO:0015103)	17	13	5.78	+	2.25	4.26E-04	1.38E-03
protein-disulfide reductase activity (GO:0015035)	21	16	7.14	+	2.24	9.49E-05	3.54E-04
carbohydrate binding (GO:0030246)	8	6	2.72	+	2.21	2.18E-02	4.39E-02
steroid binding (GO:0005496)	8	6	2.72	+	2.21	2.18E-02	4.37E-02
metalloaminopeptidase activity (GO:0070006)	8	6	2.72	+	2.21	2.18E-02	4.35E-02
sterol binding (GO:0032934)	8	6	2.72	+	2.21	2.18E-02	4.33E-02
SUMO ligase activity (GO:0061665)	8	6	2.72	+	2.21	2.18E-02	4.31E-02
fatty acyl-CoA hydrolase activity (GO:0047617)	12	9	4.08	+	2.21	4.49E-03	1.18E-02
lipid transporter activity (GO:0005319)	35	26	11.90	+	2.18	1.79E-06	9.89E-06
actin binding (GO:0003779)	46	34	15.64	+	2.17	4.22E-08	2.80E-07
monocarboxylic acid transmembrane transporter activity (GO:0008028)	15	11	5.10	+	2.16	2.17E-03	6.26E-03
actin filament binding (GO:0051015)	41	30	13.94	+	2.15	3.86E-07	2.34E-06
phospholipid binding (GO:0005543)	59	43	20.06	+	2.14	1.91E-09	1.54E-08
SUMO transferase activity (GO:0019789)	11	8	3.74	+	2.14	1.01E-02	2.46E-02
metalloexopeptidase activity (GO:0008235)	11	8	3.74	+	2.14	1.01E-02	2.44E-02
histone demethylase activity (GO:0032452)	11	8	3.74	+	2.14	1.01E-02	2.43E-02
enzyme activator activity (GO:0008047)	50	36	17.00	+	2.12	7.12E-08	4.60E-07
molecular function activator activity (GO:0140677)	57	41	19.38	+	2.12	7.16E-09	5.35E-08
O-acyltransferase activity (GO:0008374)	90	64	30.60	+	2.09	7.88E-13	7.65E-12
GTPase activator activity (GO:0005096)	24	17	8.16	+	2.08	2.99E-04	1.03E-03
SNARE binding (GO:0000149)	58	41	19.72	+	2.08	1.39E-08	1.01E-07
transcription factor binding (GO:0008134)	17	12	5.78	+	2.08	3.13E-03	8.67E-03
cis-regulatory region sequence-specific DNA binding (GO:0000987)	220	155	74.81	+	2.07	3.39E-28	6.10E-27
calmodulin binding (GO:0005516)	44	31	14.96	+	2.07	1.14E-06	6.42E-06
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	213	150	72.43	+	2.07	3.34E-27	5.40E-26
thiolester hydrolase activity (GO:0016790)	27	19	9.18	+	2.07	1.38E-04	4.99E-04
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	217	152	73.79	+	2.06	2.47E-27	4.13E-26
DNA-binding transcription factor activity (GO:0003700)	497	348	168.99	+	2.06	1.03E-60	5.00E-59
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	230	161	78.21	+	2.06	9.96E-29	1.86E-27
transcription regulator activity (GO:0140110)	567	394	192.80	+	2.04	4.68E-67	2.52E-65
transcription cis-regulatory region binding (GO:0000976)	350	243	119.01	+	2.04	8.89E-42	3.08E-40
transcription regulatory region nucleic acid binding (GO:0001067)	350	243	119.01	+	2.04	8.89E-42	2.87E-40
histone acetyltransferase activity (GO:0004402)	13	9	4.42	+	2.04	1.47E-02	3.24E-02
lipid transfer activity (GO:0120013)	13	9	4.42	+	2.04	1.47E-02	3.22E-02
heme binding (GO:0020037)	13	9	4.42	+	2.04	1.47E-02	3.21E-02
pre-mRNA binding (GO:0036002)	13	9	4.42	+	2.04	1.47E-02	3.20E-02
lipid binding (GO:0008289)	107	74	36.38	+	2.03	1.40E-13	1.39E-12
phosphoprotein phosphatase activity (GO:0004721)	90	61	30.60	+	1.99	7.49E-11	6.98E-10
GTPase regulator activity (GO:0030695)	45	30	15.30	+	1.96	9.94E-06	4.78E-05
RNA polymerase II activity (GO:0001055)	15	10	5.10	+	1.96	1.19E-02	2.81E-02
nucleoside-triphosphatase regulator activity (GO:0060589)	45	30	15.30	+	1.96	9.94E-06	4.73E-05
lipid kinase activity (GO:0001727)	27	18	9.18	+	1.96	7.33E-04	2.27E-03
sequence-specific double-stranded DNA binding (GO:1990837)	374	249	127.17	+	1.96	6.60E-38	1.78E-36
protein serine/threonine phosphatase activity (GO:0004722)	68	45	23.12	+	1.95	9.53E-08	6.08E-07
