




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	strict.singleton_OB2GO_Overrep.txt (Oryza sativa)
Reference List:	Oryza sativa (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Oryza sativa - REFLIST (43658)	strict.singleton_OB2GO_Overrep.txt (8249)	strict.singleton_OB2GO_Overrep.txt (expected)	strict.singleton_OB2GO_Overrep.txt (over/under)	strict.singleton_OB2GO_Overrep.txt (fold Enrichment)	strict.singleton_OB2GO_Overrep.txt (raw P-value)	strict.singleton_OB2GO_Overrep.txt (FDR)
nucleus organization (GO:0006997)	9	7	1.70	+	4.12	2.15E-04	2.98E-03
protein localization to cytoskeleton (GO:0044380)	8	6	1.51	+	3.97	8.94E-04	9.97E-03
inner mitochondrial membrane organization (GO:0007007)	10	7	1.89	+	3.70	6.00E-04	7.15E-03
mitochondrial membrane organization (GO:0007006)	10	7	1.89	+	3.70	6.00E-04	7.09E-03
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	14	9	2.65	+	3.40	2.42E-04	3.25E-03
positive regulation of hydrolase activity (GO:0051345)	18	10	3.40	+	2.94	5.66E-04	6.86E-03
regulation of multicellular organismal process (GO:0051239)	20	11	3.78	+	2.91	3.35E-04	4.37E-03
protein localization to cell periphery (GO:1990778)	13	7	2.46	+	2.85	5.03E-03	4.70E-02
regulation of multicellular organismal development (GO:2000026)	15	8	2.83	+	2.82	2.91E-03	2.82E-02
positive regulation of GTPase activity (GO:0043547)	17	9	3.21	+	2.80	1.70E-03	1.78E-02
anatomical structure morphogenesis (GO:0009653)	22	11	4.16	+	2.65	9.69E-04	1.07E-02
cellular response to heat (GO:0034605)	36	18	6.80	+	2.65	2.49E-05	4.05E-04
regulation of GTPase activity (GO:0043087)	19	9	3.59	+	2.51	4.48E-03	4.24E-02
shoot system development (GO:0048367)	28	13	5.29	+	2.46	8.30E-04	9.48E-03
receptor-mediated endocytosis (GO:0006898)	28	13	5.29	+	2.46	8.30E-04	9.40E-03
positive regulation of catalytic activity (GO:0043085)	26	12	4.91	+	2.44	1.40E-03	1.49E-02
tissue development (GO:0009888)	24	11	4.53	+	2.43	2.36E-03	2.37E-02
positive regulation of DNA-templated transcription (GO:0045893)	103	47	19.46	+	2.42	5.46E-10	1.61E-08
positive regulation of RNA biosynthetic process (GO:1902680)	103	47	19.46	+	2.42	5.46E-10	1.57E-08
regulation of pH (GO:0006885)	33	15	6.24	+	2.41	4.45E-04	5.59E-03
post-embryonic development (GO:0009791)	51	23	9.64	+	2.39	1.70E-05	2.87E-04
