




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	strict.singleton_OB2GO_Overrep.txt (Oryza sativa)
Reference List:	Oryza sativa (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Oryza sativa - REFLIST (43658)	strict.singleton_OB2GO_Overrep.txt (8249)	strict.singleton_OB2GO_Overrep.txt (expected)	strict.singleton_OB2GO_Overrep.txt (over/under)	strict.singleton_OB2GO_Overrep.txt (fold Enrichment)	strict.singleton_OB2GO_Overrep.txt (raw P-value)	strict.singleton_OB2GO_Overrep.txt (FDR)
protein kinase A binding (GO:0051018)	4	4	.76	+	5.29	1.27E-03	9.65E-03
protein kinase A regulatory subunit binding (GO:0034237)	4	4	.76	+	5.29	1.27E-03	9.50E-03
cysteine-type endopeptidase inhibitor activity (GO:0004869)	3	3	.57	+	5.29	6.74E-03	3.89E-02
endopeptidase inhibitor activity (GO:0004866)	3	3	.57	+	5.29	6.74E-03	3.85E-02
peptidase inhibitor activity (GO:0030414)	3	3	.57	+	5.29	6.74E-03	3.80E-02
peptidase regulator activity (GO:0061134)	5	4	.94	+	4.23	5.41E-03	3.36E-02
SUMO ligase activity (GO:0061665)	8	6	1.51	+	3.97	8.94E-04	7.00E-03
SUMO transferase activity (GO:0019789)	11	7	2.08	+	3.37	1.38E-03	1.01E-02
histone demethylase activity (GO:0032452)	11	7	2.08	+	3.37	1.38E-03	9.99E-03
fucosyltransferase activity (GO:0008417)	19	11	3.59	+	3.06	1.82E-04	1.66E-03
tRNA binding (GO:0000049)	11	6	2.08	+	2.89	8.75E-03	4.66E-02
demethylase activity (GO:0032451)	13	7	2.46	+	2.85	5.03E-03	3.17E-02
DNA exonuclease activity (GO:0004529)	15	8	2.83	+	2.82	2.91E-03	1.96E-02
DNA exonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	15	8	2.83	+	2.82	2.91E-03	1.94E-02
clathrin binding (GO:0030276)	32	16	6.05	+	2.65	7.02E-05	6.80E-04
DNA-binding transcription factor activity (GO:0003700)	497	248	93.91	+	2.64	2.42E-55	3.92E-53
transcription regulator activity (GO:0140110)	567	270	107.13	+	2.52	6.06E-55	7.35E-53
xylosyltransferase activity (GO:0042285)	17	8	3.21	+	2.49	7.69E-03	4.24E-02
GTPase activator activity (GO:0005096)	24	11	4.53	+	2.43	2.36E-03	1.64E-02
transcription cis-regulatory region binding (GO:0000976)	350	159	66.13	+	2.40	6.92E-30	3.36E-28
transcription regulatory region nucleic acid binding (GO:0001067)	350	159	66.13	+	2.40	6.92E-30	3.05E-28
sequence-specific DNA binding (GO:0043565)	532	237	100.52	+	2.36	5.28E-42	2.85E-40
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	230	102	43.46	+	2.35	8.55E-19	2.44E-17
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	217	96	41.00	+	2.34	1.10E-17	2.66E-16
cis-regulatory region sequence-specific DNA binding (GO:0000987)	220	97	41.57	+	2.33	9.53E-18	2.43E-16
sequence-specific double-stranded DNA binding (GO:1990837)	374	164	70.67	+	2.32	1.22E-28	3.95E-27
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	213	91	40.25	+	2.26	1.06E-15	2.44E-14
double-stranded DNA binding (GO:0003690)	423	180	79.92	+	2.25	2.57E-29	9.59E-28
DNA binding (GO:0003677)	736	310	139.06	+	2.23	2.06E-48	1.66E-46
enzyme inhibitor activity (GO:0004857)	97	40	18.33	+	2.18	3.40E-07	4.85E-06
molecular function inhibitor activity (GO:0140678)	97	40	18.33	+	2.18	3.40E-07	4.71E-06
O-acyltransferase activity (GO:0008374)	90	37	17.01	+	2.18	1.05E-06	1.34E-05
