Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Molecular Function	number	overUnder	pvalue	fdr
2-oxoglutarate-dependent dioxygenase activity (GO:0016706)	3	+	2.02E-01	7.03E-01
3'-5' DNA helicase activity (GO:0043138)	2	-	2.19E-01	6.63E-01
3'-5' exonuclease activity (GO:0008408)	4	+	3.00E-01	7.13E-01
3'-5'-RNA exonuclease activity (GO:0000175)	3	+	6.35E-01	8.97E-01
5'-3' exonuclease activity (GO:0008409)	2	-	2.19E-01	6.92E-01
5'-3' RNA polymerase activity (GO:0034062)	10	-	1.48E-01	7.25E-01
acetylglucosaminyltransferase activity (GO:0008375)	1	+	1.52E-01	7.27E-01
acetyltransferase activity (GO:0016407)	12	-	7.12E-01	9.17E-01
acidic amino acid transmembrane transporter activity (GO:0015172)	1	+	1.74E-01	6.70E-01
actin binding (GO:0003779)	10	+	2.76E-01	6.78E-01
actin filament binding (GO:0051015)	8	+	2.19E-01	7.01E-01
actin monomer binding (GO:0003785)	1	+	4.01E-01	6.95E-01
active monoatomic ion transmembrane transporter activity (GO:0022853)	8	+	3.03E-01	7.13E-01
active transmembrane transporter activity (GO:0022804)	22	+	6.03E-02	6.90E-01
acyltransferase activity (GO:0016746)	80	-	6.84E-01	9.19E-01
acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	36	+	7.97E-01	9.13E-01
adenosine deaminase activity (GO:0004000)	1	-	3.85E-01	7.48E-01
adenylyltransferase activity (GO:0070566)	1	+	7.41E-01	8.76E-01
alcohol binding (GO:0043178)	3	+	4.42E-01	7.29E-01
alpha-glucosidase activity (GO:0090599)	1	+	1.52E-01	6.96E-01
amide binding (GO:0033218)	11	+	7.16E-01	9.19E-01
amide transmembrane transporter activity (GO:0042887)	1	+	1.52E-01	7.11E-01
amino acid transmembrane transporter activity (GO:0015171)	10	+	8.94E-02	7.63E-01
aminoacyltransferase activity (GO:0016755)	43	-	5.09E-01	7.90E-01
aminopeptidase activity (GO:0004177)	2	+	1.70E-01	6.90E-01
anion binding (GO:0043168)	32	-	8.37E-01	9.50E-01
antioxidant activity (GO:0016209)	10	+	3.46E-01	7.88E-01
antiporter activity (GO:0015297)	9	+	1.88E-01	6.81E-01
aspartic-type endopeptidase activity (GO:0004190)	2	+	8.69E-01	9.64E-01
ATP binding (GO:0005524)	7	-	2.31E-01	6.57E-01
ATP hydrolysis activity (GO:0016887)	1	+	4.01E-01	6.86E-01
ATP-dependent activity (GO:0140657)	30	+	2.57E-01	6.89E-01
ATP-dependent activity, acting on DNA (GO:0008094)	9	-	1.02E-01	7.67E-01
ATPase activator activity (GO:0001671)	1	-	3.85E-01	7.72E-01
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	1	+	1.52E-01	7.04E-01
ATPase-coupled monoatomic cation transmembrane transporter activity (GO:0019829)	4	+	4.96E-01	7.83E-01
ATPase-coupled transmembrane transporter activity (GO:0042626)	10	+	1.48E-01	7.38E-01
basal RNA polymerase II transcription machinery binding (GO:0001099)	4	-	5.91E-01	8.59E-01
basal transcription machinery binding (GO:0001098)	4	-	5.91E-01	8.56E-01
basic amino acid transmembrane transporter activity (GO:0015174)	1	+	1.74E-01	6.76E-01
binding (GO:0005488)	382	-	3.95E-01	7.15E-01
calcium channel activity (GO:0005262)	1	+	4.01E-01	7.09E-01
calcium ion binding (GO:0005509)	7	+	9.36E-01	9.90E-01
