Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Biological Process	number	overUnder	pvalue	fdr
nucleic acid metabolic process (GO:0090304)	119	-	4.36E-08	4.62E-05
RNA metabolic process (GO:0016070)	98	-	5.29E-07	2.80E-04
cellular nitrogen compound metabolic process (GO:0034641)	198	-	6.38E-07	2.25E-04
nucleobase-containing compound metabolic process (GO:0006139)	157	-	6.43E-07	1.70E-04
heterocycle metabolic process (GO:0046483)	172	-	2.58E-06	5.46E-04
gene expression (GO:0010467)	130	-	1.14E-05	2.02E-03
defense response (GO:0006952)	35	+	2.01E-05	3.04E-03
ncRNA metabolic process (GO:0034660)	40	-	2.90E-05	3.83E-03
cellular aromatic compound metabolic process (GO:0006725)	176	-	5.24E-05	6.17E-03
organic cyclic compound metabolic process (GO:1901360)	184	-	5.89E-05	6.24E-03
macromolecule biosynthetic process (GO:0009059)	149	-	7.65E-05	7.37E-03
RNA processing (GO:0006396)	53	-	1.04E-04	9.16E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	32	+	2.07E-04	1.69E-02
response to biotic stimulus (GO:0009607)	32	+	2.07E-04	1.57E-02
defense response to other organism (GO:0098542)	32	+	2.07E-04	1.46E-02
response to external biotic stimulus (GO:0043207)	32	+	2.07E-04	1.37E-02
response to other organism (GO:0051707)	32	+	2.07E-04	1.29E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	91	-	5.47E-04	3.22E-02
cellular biosynthetic process (GO:0044249)	228	-	8.09E-04	4.51E-02
ncRNA processing (GO:0034470)	24	-	9.04E-04	4.79E-02
ribonucleoprotein complex biogenesis (GO:0022613)	45	-	1.14E-03	5.77E-02
rRNA metabolic process (GO:0016072)	21	-	1.18E-03	5.68E-02
organic substance biosynthetic process (GO:1901576)	235	-	1.20E-03	5.52E-02
response to external stimulus (GO:0009605)	37	+	1.75E-03	7.73E-02
rRNA processing (GO:0006364)	19	-	2.58E-03	1.09E-01
biosynthetic process (GO:0009058)	239	-	2.97E-03	1.21E-01
heterocycle biosynthetic process (GO:0018130)	49	-	3.17E-03	1.24E-01
regulation of biological quality (GO:0065008)	21	+	3.41E-03	1.29E-01
response to stimulus (GO:0050896)	128	+	4.24E-03	1.55E-01
regulation of hormone levels (GO:0010817)	7	+	4.67E-03	1.65E-01
tRNA metabolic process (GO:0006399)	18	-	4.68E-03	1.60E-01
cellular component biogenesis (GO:0044085)	86	-	4.89E-03	1.62E-01
cellular component assembly (GO:0022607)	53	-	5.01E-03	1.61E-01
ribosome biogenesis (GO:0042254)	33	-	5.82E-03	1.81E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	38	-	5.88E-03	1.78E-01
secondary metabolic process (GO:0019748)	3	+	6.52E-03	1.92E-01
response to stress (GO:0006950)	82	+	7.67E-03	2.20E-01
RNA modification (GO:0009451)	14	-	9.25E-03	2.58E-01
DNA replication (GO:0006260)	9	-	9.28E-03	2.52E-01
macromolecule methylation (GO:0043414)	9	-	9.28E-03	2.46E-01
DNA-templated transcription (GO:0006351)	19	-	1.05E-02	2.70E-01
RNA biosynthetic process (GO:0032774)	19	-	1.05E-02	2.64E-01
