




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.Overrep.txt (Oryza sativa)
Reference List:	Oryza sativa (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Oryza sativa - REFLIST (43658)	moderate_OB2GO_for_PANTHER.Overrep.txt (193)	moderate_OB2GO_for_PANTHER.Overrep.txt (expected)	moderate_OB2GO_for_PANTHER.Overrep.txt (over/under)	moderate_OB2GO_for_PANTHER.Overrep.txt (fold Enrichment)	moderate_OB2GO_for_PANTHER.Overrep.txt (raw P-value)	moderate_OB2GO_for_PANTHER.Overrep.txt (FDR)
UDP-galactose transmembrane transporter activity (GO:0005459)	7	1	.03	+	32.32	3.05E-02	5.92E-01
microfilament motor activity (GO:0000146)	9	1	.04	+	25.13	3.91E-02	6.32E-01
purine nucleotide transmembrane transporter activity (GO:0015216)	12	1	.05	+	18.85	5.18E-02	7.61E-01
structural constituent of cytoskeleton (GO:0005200)	14	1	.06	+	16.16	6.02E-02	7.88E-01
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	15	1	.07	+	15.08	6.43E-02	7.61E-01
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	35	2	.15	+	12.93	1.05E-02	3.00E-01
phosphatidylinositol phosphate binding (GO:1901981)	19	1	.08	+	11.91	8.08E-02	8.90E-01
fucosyltransferase activity (GO:0008417)	19	1	.08	+	11.91	8.08E-02	8.70E-01
carbohydrate derivative transmembrane transporter activity (GO:1901505)	38	2	.17	+	11.91	1.23E-02	3.14E-01
phosphatidylinositol bisphosphate binding (GO:1902936)	19	1	.08	+	11.91	8.08E-02	8.51E-01
nucleotide-sugar transmembrane transporter activity (GO:0005338)	20	1	.09	+	11.31	8.48E-02	8.75E-01
actin filament binding (GO:0051015)	41	2	.18	+	11.03	1.42E-02	3.45E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	64	3	.28	+	10.60	2.91E-03	1.57E-01
actin binding (GO:0003779)	46	2	.20	+	9.84	1.77E-02	4.09E-01
P-type ion transporter activity (GO:0015662)	23	1	.10	+	9.84	9.69E-02	9.22E-01
phosphatidylinositol binding (GO:0035091)	24	1	.11	+	9.43	1.01E-01	9.23E-01
sugar transmembrane transporter activity (GO:0051119)	25	1	.11	+	9.05	1.05E-01	9.42E-01
sulfotransferase activity (GO:0008146)	27	1	.12	+	8.38	1.13E-01	9.43E-01
calcium ion transmembrane transporter activity (GO:0015085)	28	1	.12	+	8.08	1.17E-01	9.28E-01
ligand-gated channel activity (GO:0022834)	29	1	.13	+	7.80	1.21E-01	9.43E-01
ligand-gated monoatomic ion channel activity (GO:0015276)	29	1	.13	+	7.80	1.21E-01	9.29E-01
carboxypeptidase activity (GO:0004180)	59	2	.26	+	7.67	2.82E-02	5.70E-01
O-acyltransferase activity (GO:0008374)	90	3	.40	+	7.54	7.54E-03	3.05E-01
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	31	1	.14	+	7.30	1.28E-01	9.73E-01
ATPase-coupled monoatomic cation transmembrane transporter activity (GO:0019829)	31	1	.14	+	7.30	1.28E-01	9.58E-01
cullin family protein binding (GO:0097602)	32	1	.14	+	7.07	1.32E-01	9.43E-01
clathrin binding (GO:0030276)	32	1	.14	+	7.07	1.32E-01	9.29E-01
carbohydrate transmembrane transporter activity (GO:0015144)	33	1	.15	+	6.85	1.36E-01	9.43E-01
ubiquitin protein ligase binding (GO:0031625)	33	1	.15	+	6.85	1.36E-01	9.29E-01
O-methyltransferase activity (GO:0008171)	33	1	.15	+	6.85	1.36E-01	9.17E-01
glutathione transferase activity (GO:0004364)	67	2	.30	+	6.75	3.56E-02	6.40E-01
protein serine/threonine phosphatase activity (GO:0004722)	68	2	.30	+	6.65	3.66E-02	6.34E-01
monooxygenase activity (GO:0004497)	172	5	.76	+	6.58	1.04E-03	1.01E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	144	4	.64	+	6.28	3.93E-03	1.91E-01
chitinase activity (GO:0004568)	37	1	.16	+	6.11	1.51E-01	9.65E-01
potassium ion transmembrane transporter activity (GO:0015079)	37	1	.16	+	6.11	1.51E-01	9.53E-01
nucleosome binding (GO:0031491)	37	1	.16	+	6.11	1.51E-01	9.40E-01
chromatin DNA binding (GO:0031490)	37	1	.16	+	6.11	1.51E-01	9.29E-01
exopeptidase activity (GO:0008238)	77	2	.34	+	5.88	4.58E-02	7.17E-01
cytoskeletal motor activity (GO:0003774)	39	1	.17	+	5.80	1.59E-01	9.62E-01
phosphoric diester hydrolase activity (GO:0008081)	39	1	.17	+	5.80	1.59E-01	9.51E-01
gated channel activity (GO:0022836)	41	1	.18	+	5.52	1.66E-01	9.71E-01
ubiquitin-like protein ligase binding (GO:0044389)	42	1	.19	+	5.39	1.70E-01	9.81E-01
translation initiation factor activity (GO:0003743)	42	1	.19	+	5.39	1.70E-01	9.69E-01
flavin adenine dinucleotide binding (GO:0050660)	42	1	.19	+	5.39	1.70E-01	9.58E-01
ubiquitin conjugating enzyme activity (GO:0061631)	43	1	.19	+	5.26	1.74E-01	9.56E-01
serine hydrolase activity (GO:0017171)	86	2	.38	+	5.26	5.58E-02	7.96E-01
ATPase-coupled transmembrane transporter activity (GO:0042626)	88	2	.39	+	5.14	5.81E-02	8.05E-01
phosphoprotein phosphatase activity (GO:0004721)	90	2	.40	+	5.03	6.05E-02	7.52E-01
phospholipase activity (GO:0004620)	46	1	.20	+	4.92	1.84E-01	9.94E-01
transferase activity, transferring sulphur-containing groups (GO:0016782)	46	1	.20	+	4.92	1.84E-01	9.83E-01
dioxygenase activity (GO:0051213)	93	2	.41	+	4.86	6.40E-02	7.76E-01
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	47	1	.21	+	4.81	1.88E-01	9.70E-01
hydrolase activity, acting on glycosyl bonds (GO:0016798)	190	4	.84	+	4.76	1.03E-02	3.12E-01
phosphoric ester hydrolase activity (GO:0042578)	240	5	1.06	+	4.71	4.42E-03	1.95E-01
primary active transmembrane transporter activity (GO:0015399)	99	2	.44	+	4.57	7.14E-02	8.24E-01
phosphatase activity (GO:0016791)	198	4	.88	+	4.57	1.18E-02	3.19E-01
acetyltransferase activity (GO:0016407)	101	2	.45	+	4.48	7.39E-02	8.34E-01
hydro-lyase activity (GO:0016836)	51	1	.23	+	4.44	2.02E-01	1.00E00
glucosidase activity (GO:0015926)	52	1	.23	+	4.35	2.06E-01	1.00E00
signaling receptor activity (GO:0038023)	54	1	.24	+	4.19	2.13E-01	1.00E00
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	165	3	.73	+	4.11	3.71E-02	6.21E-01
RNA endonuclease activity (GO:0004521)	55	1	.24	+	4.11	2.16E-01	1.00E00
organic anion transmembrane transporter activity (GO:0008514)	113	2	.50	+	4.00	8.95E-02	8.68E-01
acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	283	5	1.25	+	4.00	8.72E-03	3.02E-01
SNARE binding (GO:0000149)	58	1	.26	+	3.90	2.27E-01	1.00E00
phospholipid binding (GO:0005543)	59	1	.26	+	3.83	2.30E-01	1.00E00
antiporter activity (GO:0015297)	59	1	.26	+	3.83	2.30E-01	1.00E00
active transmembrane transporter activity (GO:0022804)	182	3	.80	+	3.73	4.73E-02	7.17E-01
lipase activity (GO:0016298)	61	1	.27	+	3.71	2.37E-01	1.00E00
2-oxoglutarate-dependent dioxygenase activity (GO:0016706)	62	1	.27	+	3.65	2.40E-01	1.00E00
molecular transducer activity (GO:0060089)	62	1	.27	+	3.65	2.40E-01	1.00E00
kinase regulator activity (GO:0019207)	62	1	.27	+	3.65	2.40E-01	1.00E00
protein kinase regulator activity (GO:0019887)	62	1	.27	+	3.65	2.40E-01	1.00E00
metal ion transmembrane transporter activity (GO:0046873)	125	2	.55	+	3.62	1.06E-01	9.18E-01
active monoatomic ion transmembrane transporter activity (GO:0022853)	63	1	.28	+	3.59	2.44E-01	1.00E00
anion binding (GO:0043168)	253	4	1.12	+	3.58	2.64E-02	5.57E-01
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	128	2	.57	+	3.53	1.10E-01	9.38E-01
monoatomic ion channel activity (GO:0005216)	65	1	.29	+	3.48	2.50E-01	1.00E00
translation regulator activity, nucleic acid binding (GO:0090079)	66	1	.29	+	3.43	2.54E-01	1.00E00
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	132	2	.58	+	3.43	1.16E-01	9.38E-01
translation factor activity, RNA binding (GO:0008135)	66	1	.29	+	3.43	2.54E-01	1.00E00
translation regulator activity (GO:0045182)	66	1	.29	+	3.43	2.54E-01	1.00E00
peptide binding (GO:0042277)	67	1	.30	+	3.38	2.57E-01	1.00E00
carbon-oxygen lyase activity (GO:0016835)	68	1	.30	+	3.33	2.60E-01	1.00E00
transcription coregulator activity (GO:0003712)	69	1	.31	+	3.28	2.64E-01	1.00E00
unfolded protein binding (GO:0051082)	70	1	.31	+	3.23	2.67E-01	1.00E00
cytoskeletal protein binding (GO:0008092)	142	2	.63	+	3.19	1.31E-01	9.60E-01
transmembrane transporter activity (GO:0022857)	732	10	3.24	+	3.09	1.66E-03	1.34E-01
transporter activity (GO:0005215)	757	10	3.35	+	2.99	2.12E-03	1.47E-01
endonuclease activity (GO:0004519)	76	1	.34	+	2.98	2.86E-01	1.00E00
hydrolase activity, acting on ester bonds (GO:0016788)	536	7	2.37	+	2.95	1.02E-02	3.29E-01
monoatomic ion transmembrane transporter activity (GO:0015075)	233	3	1.03	+	2.91	8.50E-02	8.59E-01
protein-containing complex binding (GO:0044877)	235	3	1.04	+	2.89	8.67E-02	8.58E-01
amide binding (GO:0033218)	79	1	.35	+	2.86	2.96E-01	1.00E00
amino acid transmembrane transporter activity (GO:0015171)	80	1	.35	+	2.83	2.99E-01	1.00E00
secondary active transmembrane transporter activity (GO:0015291)	83	1	.37	+	2.73	3.08E-01	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	170	2	.75	+	2.66	1.74E-01	9.67E-01
methyltransferase activity (GO:0008168)	171	2	.76	+	2.65	1.75E-01	9.54E-01
nucleoside phosphate binding (GO:1901265)	177	2	.78	+	2.56	1.85E-01	9.73E-01
nucleotide binding (GO:0000166)	177	2	.78	+	2.56	1.85E-01	9.63E-01
protein kinase activity (GO:0004672)	537	6	2.37	+	2.53	3.28E-02	6.13E-01
RNA nuclease activity (GO:0004540)	90	1	.40	+	2.51	3.29E-01	1.00E00
