;;GO_term;GeneCount;FoldEnrichment;FDR;;
1;GO:0019219;regulation of nucleobase-containing compound metabolic process ;312;2,31;6,54E-50;;2,086
2;GO:0051252;regulation of RNA metabolic process ;304;2,31;4,69E-49;;
3;GO:2001141;regulation of RNA biosynthetic process ;277;2,38;9,44E-48;;
4;GO:0006355;regulation of DNA-templated transcription ;277;2,38;1,13E-47;;
5;GO:0065007;biological regulation ;578;1,74;9,21E-44;;
6;GO:0031323;regulation of cellular metabolic process ;379;2,01;1,28E-43;;
7;GO:0009889;regulation of biosynthetic process ;355;2,06;1,38E-43;;
8;GO:0031326;regulation of cellular biosynthetic process ;354;2,06;1,78E-43;;
9;GO:0051171;regulation of nitrogen compound metabolic process ;333;2,11;1,80E-43;;
10;GO:0080090;regulation of primary metabolic process ;336;2,1;1,93E-43;;
11;GO:0019222;regulation of metabolic process ;388;1,98;3,94E-43;;
12;GO:0060255;regulation of macromolecule metabolic process ;377;1,99;9,26E-43;;
13;GO:0010468;regulation of gene expression ;346;2,06;9,90E-43;;
14;GO:0010556;regulation of macromolecule biosynthetic process ;346;2,06;1,04E-42;;
15;GO:0050789;regulation of biological process ;520;1,74;1,95E-39;;
16;GO:0050794;regulation of cellular process ;499;1,75;1,07E-38;;
17;GO:0006952;defense response ;165;2,34;2,35E-27;;
18;GO:0050896;response to stimulus ;427;1,65;1,31E-26;;
19;GO:0006950;response to stress ;298;1,81;2,51E-25;;
20;GO:0098542;defense response to other organism ;143;2,34;9,16E-24;;
21;GO:0009607;response to biotic stimulus ;143;2,34;9,54E-24;;
22;GO:0051707;response to other organism ;143;2,34;9,95E-24;;
23;GO:0043207;response to external biotic stimulus ;143;2,34;1,04E-23;;
24;GO:0044419;biological process involved in interspecies interaction between organisms ;143;2,33;2,07E-23;;
25;GO:0009605;response to external stimulus ;149;2,21;8,36E-22;;
26;GO:0006357;regulation of transcription by RNA polymerase II ;141;2,25;2,15E-21;;
27;GO:0043170;macromolecule metabolic process ;769;1,37;2,02E-20;;
28;GO:0009987;cellular process ;1245;1,27;3,64E-20;;
29;GO:0044238;primary metabolic process ;933;1,3;1,65E-17;;
30;GO:0071704;organic substance metabolic process ;981;1,27;8,86E-16;;
31;GO:0008152;metabolic process ;1042;1,26;1,71E-15;;
32;GO:0043412;macromolecule modification ;375;1,47;2,96E-14;;
33;GO:0006807;nitrogen compound metabolic process ;807;1,26;5,79E-12;;
34;GO:0009057;macromolecule catabolic process ;168;1,63;6,22E-10;;
35;GO:0019538;protein metabolic process ;470;1,32;9,52E-10;;
36;GO:0051254;positive regulation of RNA metabolic process ;65;2,22;1,31E-09;;
37;GO:0048518;positive regulation of biological process ;85;1,97;2,64E-09;;
38;GO:0009451;RNA modification ;79;2,02;3,13E-09;;
39;GO:0048522;positive regulation of cellular process ;78;2,03;3,40E-09;;
40;GO:0045935;positive regulation of nucleobase-containing compound metabolic process ;65;2,18;3,93E-09;;
41;GO:0032502;developmental process ;67;2,1;1,08E-08;;
42;GO:0030163;protein catabolic process ;135;1,67;1,18E-08;;
43;GO:0051603;proteolysis involved in protein catabolic process ;134;1,67;1,39E-08;;
44;GO:1902680;positive regulation of RNA biosynthetic process ;47;2,42;1,57E-08;;
45;GO:1901575;organic substance catabolic process ;219;1,48;1,60E-08;;
46;GO:0045893;positive regulation of DNA-templated transcription ;47;2,42;1,61E-08;;
47;GO:0048856;anatomical structure development ;54;2,25;2,36E-08;;
48;GO:0032446;protein modification by small protein conjugation ;94;1,82;3,44E-08;;
49;GO:1901565;organonitrogen compound catabolic process ;162;1,55;7,88E-08;;
50;GO:0031325;positive regulation of cellular metabolic process ;67;2;9,08E-08;;
51;GO:0009893;positive regulation of metabolic process ;74;1,94;9,46E-08;;
52;GO:0010604;positive regulation of macromolecule metabolic process ;74;1,94;9,63E-08;;
53;GO:0051173;positive regulation of nitrogen compound metabolic process ;73;1,94;1,25E-07;;
54;GO:0016567;protein ubiquitination ;85;1,84;1,35E-07;;
55;GO:0090304;nucleic acid metabolic process ;263;1,39;1,79E-07;;
56;GO:0036211;protein modification process ;292;1,36;2,14E-07;;
57;GO:0070647;protein modification by small protein conjugation or removal ;115;1,64;3,67E-07;;
58;GO:0009056;catabolic process ;227;1,42;3,79E-07;;
59;GO:0006508;proteolysis ;144;1,55;4,63E-07;;
60;GO:0031328;positive regulation of cellular biosynthetic process ;50;2,15;4,69E-07;;
61;GO:0009891;positive regulation of biosynthetic process ;50;2,15;4,77E-07;;
