




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	singletons_H.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	singletons_H.txt (15321)	singletons_H.txt (expected)	singletons_H.txt (over/under)	singletons_H.txt (fold Enrichment)	singletons_H.txt (raw P-value)	singletons_H.txt (FDR)
siRNA processing (GO:0030422)	11	11	6.18	+	1.78	3.48E-03	1.51E-02
DNA biosynthetic process (GO:0071897)	8	8	4.50	+	1.78	1.13E-02	4.22E-02
nucleus organization (GO:0006997)	8	8	4.50	+	1.78	1.13E-02	4.21E-02
microtubule-based movement (GO:0007018)	11	11	6.18	+	1.78	3.48E-03	1.50E-02
DNA unwinding involved in DNA replication (GO:0006268)	9	9	5.06	+	1.78	6.18E-03	2.54E-02
tissue development (GO:0009888)	22	21	12.36	+	1.70	1.03E-04	6.00E-04
DNA-templated DNA replication (GO:0006261)	39	37	21.92	+	1.69	1.05E-07	1.06E-06
DNA replication (GO:0006260)	45	41	25.29	+	1.62	4.70E-07	4.16E-06
regulation of DNA metabolic process (GO:0051052)	16	14	8.99	+	1.56	1.11E-02	4.16E-02
DNA recombination (GO:0006310)	57	48	32.03	+	1.50	1.11E-05	7.59E-05
double-strand break repair (GO:0006302)	56	47	31.47	+	1.49	1.76E-05	1.16E-04
recombinational repair (GO:0000725)	44	35	24.73	+	1.42	1.99E-03	9.18E-03
DNA metabolic process (GO:0006259)	164	129	92.16	+	1.40	1.81E-09	2.52E-08
DNA repair (GO:0006281)	136	106	76.43	+	1.39	1.34E-07	1.33E-06
double-strand break repair via homologous recombination (GO:0000724)	40	31	22.48	+	1.38	6.37E-03	2.61E-02
RNA modification (GO:0009451)	172	133	96.66	+	1.38	1.08E-08	1.29E-07
DNA damage response (GO:0006974)	143	110	80.36	+	1.37	2.79E-07	2.57E-06
chromosome organization (GO:0051276)	67	48	37.65	+	1.27	1.31E-02	4.69E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	97	69	54.51	+	1.27	2.85E-03	1.28E-02
positive regulation of biosynthetic process (GO:0009891)	97	69	54.51	+	1.27	2.85E-03	1.27E-02
positive regulation of cellular biosynthetic process (GO:0031328)	97	69	54.51	+	1.27	2.85E-03	1.27E-02
nucleic acid metabolic process (GO:0090304)	783	540	440.01	+	1.23	1.19E-13	3.01E-12
RNA metabolic process (GO:0016070)	628	415	352.90	+	1.18	3.42E-07	3.11E-06
ncRNA metabolic process (GO:0034660)	218	142	122.51	+	1.16	7.48E-03	2.91E-02
RNA processing (GO:0006396)	344	220	193.31	+	1.14	3.70E-03	1.58E-02
nucleobase-containing compound metabolic process (GO:0006139)	963	600	541.16	+	1.11	9.44E-05	5.55E-04
Unclassified (UNCLASSIFIED)	20681	12468	11621.68	+	1.07	5.68E-128	7.34E-125
gene expression (GO:0010467)	792	403	445.06	-	.91	2.54E-03	1.14E-02
regulation of cellular process (GO:0050794)	1265	614	710.87	-	.86	2.39E-08	2.67E-07
cellular component organization or biogenesis (GO:0071840)	914	443	513.62	-	.86	1.98E-06	1.58E-05
regulation of biological process (GO:0050789)	1324	640	744.02	-	.86	4.62E-09	5.97E-08
macromolecule metabolic process (GO:0043170)	2513	1214	1412.18	-	.86	8.26E-17	2.61E-15
cellular component organization (GO:0016043)	734	354	412.47	-	.86	1.18E-05	7.94E-05
biological regulation (GO:0065007)	1480	713	831.69	-	.86	2.25E-10	3.89E-09
macromolecule biosynthetic process (GO:0009059)	952	458	534.98	-	.86	3.49E-07	3.15E-06
protein-containing complex organization (GO:0043933)	257	122	144.42	-	.84	5.36E-03	2.23E-02
macromolecule catabolic process (GO:0009057)	470	223	264.12	-	.84	1.41E-04	7.98E-04
organelle organization (GO:0006996)	508	240	285.47	-	.84	4.68E-05	2.88E-04
cell cycle (GO:0007049)	160	74	89.91	-	.82	1.30E-02	4.80E-02
response to stimulus (GO:0050896)	1206	554	677.71	-	.82	2.96E-13	6.84E-12
nitrogen compound metabolic process (GO:0006807)	2851	1309	1602.12	-	.82	3.05E-31	2.19E-29
protein catabolic process (GO:0030163)	377	172	211.86	-	.81	3.48E-05	2.20E-04
modification-dependent macromolecule catabolic process (GO:0043632)	295	134	165.78	-	.81	1.95E-04	1.08E-03
proteolysis involved in protein catabolic process (GO:0051603)	373	169	209.61	-	.81	2.46E-05	1.58E-04
proteolysis (GO:0006508)	427	193	239.95	-	.80	4.53E-06	3.31E-05
ubiquitin-dependent protein catabolic process (GO:0006511)	273	123	153.41	-	.80	2.25E-04	1.23E-03
cellular component biogenesis (GO:0044085)	438	197	246.13	-	.80	2.29E-06	1.80E-05
protein localization to organelle (GO:0033365)	138	62	77.55	-	.80	9.62E-03	3.66E-02
modification-dependent protein catabolic process (GO:0019941)	288	129	161.84	-	.80	9.95E-05	5.80E-04
