




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	high.genes.eq2.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	high.genes.eq2.txt (5280)	high.genes.eq2.txt (expected)	high.genes.eq2.txt (over/under)	high.genes.eq2.txt (fold Enrichment)	high.genes.eq2.txt (raw P-value)	high.genes.eq2.txt (FDR)
cytochrome complex assembly (GO:0017004)	4	4	.77	+	5.16	1.41E-03	1.03E-02
sulfur compound catabolic process (GO:0044273)	4	4	.77	+	5.16	1.41E-03	1.03E-02
respiratory chain complex IV assembly (GO:0008535)	4	4	.77	+	5.16	1.41E-03	1.02E-02
mitochondrial cytochrome c oxidase assembly (GO:0033617)	4	4	.77	+	5.16	1.41E-03	1.02E-02
DNA methylation (GO:0006306)	3	3	.58	+	5.16	7.26E-03	3.82E-02
DNA alkylation (GO:0006305)	3	3	.58	+	5.16	7.26E-03	3.80E-02
endosome organization (GO:0007032)	4	4	.77	+	5.16	1.41E-03	1.01E-02
mitochondrial protein processing (GO:0034982)	5	5	.97	+	5.16	2.72E-04	2.98E-03
organic hydroxy compound transport (GO:0015850)	3	3	.58	+	5.16	7.26E-03	3.79E-02
mitochondrial respiratory chain complex assembly (GO:0033108)	9	8	1.74	+	4.59	1.47E-05	2.29E-04
mitochondrial calcium ion homeostasis (GO:0051560)	7	6	1.36	+	4.43	3.07E-04	3.20E-03
MAPK cascade (GO:0000165)	11	9	2.13	+	4.22	1.43E-05	2.26E-04
extracellular matrix organization (GO:0030198)	5	4	.97	+	4.13	5.94E-03	3.21E-02
RNA decapping (GO:0110154)	10	8	1.94	+	4.13	6.08E-05	8.11E-04
mitochondrial respiratory chain complex I assembly (GO:0032981)	5	4	.97	+	4.13	5.94E-03	3.20E-02
