




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	high.genes.gt10.lt20.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	high.genes.gt10.lt20.txt (795)	high.genes.gt10.lt20.txt (expected)	high.genes.gt10.lt20.txt (over/under)	high.genes.gt10.lt20.txt (fold Enrichment)	high.genes.gt10.lt20.txt (raw P-value)	high.genes.gt10.lt20.txt (FDR)
actin filament depolymerization (GO:0030042)	10	9	.29	+	30.86	1.42E-13	3.06E-11
actin polymerization or depolymerization (GO:0008154)	10	9	.29	+	30.86	1.42E-13	2.62E-11
secondary metabolite biosynthetic process (GO:0044550)	42	28	1.22	+	22.86	2.32E-33	3.01E-30
heterochromatin organization (GO:0070828)	20	12	.58	+	20.58	3.54E-14	1.14E-11
heterochromatin formation (GO:0031507)	20	12	.58	+	20.58	3.54E-14	9.16E-12
hormone biosynthetic process (GO:0042446)	20	10	.58	+	17.15	5.96E-11	4.82E-09
secondary metabolic process (GO:0019748)	62	28	1.81	+	15.49	8.86E-27	5.73E-24
protein depolymerization (GO:0051261)	20	9	.58	+	15.43	1.83E-09	1.19E-07
negative regulation of gene expression, epigenetic (GO:0045814)	27	12	.79	+	15.24	4.05E-12	4.76E-10
defense response to fungus (GO:0050832)	7	3	.20	+	14.70	7.92E-04	1.38E-02
seed development (GO:0048316)	10	3	.29	+	10.29	2.54E-03	3.74E-02
epigenetic regulation of gene expression (GO:0040029)	40	12	1.17	+	10.29	9.18E-10	6.25E-08
response to unfolded protein (GO:0006986)	14	4	.41	+	9.80	5.69E-04	1.05E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	14	4	.41	+	9.80	5.69E-04	1.04E-02
cellular response to unfolded protein (GO:0034620)	14	4	.41	+	9.80	5.69E-04	1.02E-02
