




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	H_1-5_TAGs.tsv (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	H_1-5_TAGs.tsv (1946)	H_1-5_TAGs.tsv (expected)	H_1-5_TAGs.tsv (over/under)	H_1-5_TAGs.tsv (fold Enrichment)	H_1-5_TAGs.tsv (raw P-value)	H_1-5_TAGs.tsv (FDR)
polyamine catabolic process (GO:0006598)	4	4	.29	+	14.01	2.59E-05	5.58E-04
negative regulation of transcription by RNA polymerase II (GO:0000122)	9	4	.64	+	6.23	2.44E-03	3.00E-02
secondary metabolic process (GO:0019748)	62	27	4.43	+	6.10	2.25E-15	4.84E-13
secondary metabolite biosynthetic process (GO:0044550)	42	18	3.00	+	6.00	1.44E-10	1.17E-08
cell surface receptor signaling pathway (GO:0007166)	85	31	6.07	+	5.11	7.62E-15	1.41E-12
glutathione metabolic process (GO:0006749)	65	23	4.64	+	4.96	4.57E-11	5.91E-09
detoxification (GO:0098754)	18	6	1.28	+	4.67	1.15E-03	1.55E-02
response to toxic substance (GO:0009636)	18	6	1.28	+	4.67	1.15E-03	1.54E-02
response to salt stress (GO:0009651)	26	8	1.86	+	4.31	3.23E-04	5.36E-03
response to osmotic stress (GO:0006970)	31	8	2.21	+	3.62	1.19E-03	1.56E-02
cellular modified amino acid metabolic process (GO:0006575)	91	23	6.50	+	3.54	6.95E-08	2.50E-06
sterol metabolic process (GO:0016125)	60	15	4.28	+	3.50	1.49E-05	3.63E-04
glucan biosynthetic process (GO:0009250)	40	10	2.86	+	3.50	3.91E-04	6.25E-03
steroid metabolic process (GO:0008202)	62	15	4.43	+	3.39	2.27E-05	5.15E-04
glucan metabolic process (GO:0044042)	55	13	3.93	+	3.31	1.02E-04	1.94E-03
response to reactive oxygen species (GO:0000302)	38	8	2.71	+	2.95	4.71E-03	4.99E-02
polysaccharide metabolic process (GO:0005976)	105	19	7.49	+	2.54	1.48E-04	2.69E-03
sulfur compound metabolic process (GO:0006790)	172	31	12.28	+	2.53	1.57E-06	4.41E-05
polysaccharide biosynthetic process (GO:0000271)	69	12	4.92	+	2.44	3.31E-03	3.89E-02
response to temperature stimulus (GO:0009266)	70	12	5.00	+	2.40	3.74E-03	4.31E-02
response to external biotic stimulus (GO:0043207)	287	48	20.48	+	2.34	4.16E-08	1.79E-06
response to other organism (GO:0051707)	287	48	20.48	+	2.34	4.16E-08	1.74E-06
response to biotic stimulus (GO:0009607)	287	48	20.48	+	2.34	4.16E-08	1.68E-06
