




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	H_all_TAGs.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	H_all_TAGs.txt (3375)	H_all_TAGs.txt (expected)	H_all_TAGs.txt (over/under)	H_all_TAGs.txt (fold Enrichment)	H_all_TAGs.txt (raw P-value)	H_all_TAGs.txt (FDR)
polyamine catabolic process (GO:0006598)	4	4	.50	+	8.08	2.34E-04	2.66E-03
long-chain fatty acid metabolic process (GO:0001676)	16	10	1.98	+	5.05	3.28E-06	5.37E-05
jasmonic acid metabolic process (GO:0009694)	16	10	1.98	+	5.05	3.28E-06	5.30E-05
detoxification (GO:0098754)	18	10	2.23	+	4.49	1.42E-05	2.03E-04
response to toxic substance (GO:0009636)	18	10	2.23	+	4.49	1.42E-05	2.01E-04
response to abscisic acid (GO:0009737)	30	16	3.71	+	4.31	7.66E-08	1.94E-06
glutathione metabolic process (GO:0006749)	65	33	8.05	+	4.10	6.26E-14	4.49E-12
secondary metabolite biosynthetic process (GO:0044550)	42	21	5.20	+	4.04	3.29E-09	1.12E-07
secondary metabolic process (GO:0019748)	62	31	7.67	+	4.04	6.11E-13	3.29E-11
cell surface receptor signaling pathway (GO:0007166)	85	39	10.52	+	3.71	2.47E-14	1.99E-12
glucan biosynthetic process (GO:0009250)	40	18	4.95	+	3.64	3.35E-07	7.09E-06
diterpenoid biosynthetic process (GO:0016102)	20	8	2.48	+	3.23	1.73E-03	1.53E-02
external encapsulating structure organization (GO:0045229)	15	6	1.86	+	3.23	6.62E-03	4.46E-02
cellular modified amino acid metabolic process (GO:0006575)	91	35	11.26	+	3.11	2.29E-10	9.57E-09
glucan metabolic process (GO:0044042)	55	21	6.81	+	3.08	1.03E-06	1.89E-05
sterol metabolic process (GO:0016125)	60	22	7.43	+	2.96	1.28E-06	2.30E-05
steroid metabolic process (GO:0008202)	62	22	7.67	+	2.87	2.42E-06	4.17E-05
response to salt stress (GO:0009651)	26	9	3.22	+	2.80	2.92E-03	2.26E-02
cellular response to lipid (GO:0071396)	37	12	4.58	+	2.62	1.18E-03	1.11E-02
cellular response to oxygen-containing compound (GO:1901701)	53	17	6.56	+	2.59	1.41E-04	1.69E-03
response to lipid (GO:0033993)	50	16	6.19	+	2.59	2.27E-04	2.60E-03
sulfur compound metabolic process (GO:0006790)	172	55	21.29	+	2.58	1.19E-11	6.17E-10
polysaccharide biosynthetic process (GO:0000271)	69	20	8.54	+	2.34	2.92E-04	3.17E-03
response to reactive oxygen species (GO:0000302)	38	11	4.70	+	2.34	5.07E-03	3.58E-02
organic hydroxy compound metabolic process (GO:1901615)	128	37	15.85	+	2.34	5.07E-07	1.02E-05
methylation (GO:0032259)	100	28	12.38	+	2.26	2.30E-05	3.16E-04
response to oxygen-containing compound (GO:1901700)	124	32	15.35	+	2.08	4.73E-05	6.31E-04
polysaccharide metabolic process (GO:0005976)	105	27	13.00	+	2.08	1.61E-04	1.90E-03
cell wall organization or biogenesis (GO:0071554)	104	26	12.87	+	2.02	4.40E-04	4.71E-03
fatty acid metabolic process (GO:0006631)	69	17	8.54	+	1.99	4.95E-03	3.57E-02
defense response (GO:0006952)	335	81	41.47	+	1.95	2.60E-09	9.10E-08
protein phosphorylation (GO:0006468)	448	99	55.46	+	1.79	7.21E-09	2.22E-07
response to external biotic stimulus (GO:0043207)	287	62	35.53	+	1.75	1.20E-05	1.85E-04
response to other organism (GO:0051707)	287	62	35.53	+	1.75	1.20E-05	1.83E-04
response to biotic stimulus (GO:0009607)	287	62	35.53	+	1.75	1.20E-05	1.80E-04
defense response to other organism (GO:0098542)	287	62	35.53	+	1.75	1.20E-05	1.78E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	288	62	35.65	+	1.74	1.25E-05	1.82E-04
phosphorylation (GO:0016310)	468	100	57.93	+	1.73	3.63E-08	9.79E-07
response to external stimulus (GO:0009605)	312	62	38.62	+	1.61	1.78E-04	2.05E-03
response to chemical (GO:0042221)	225	42	27.85	+	1.51	5.91E-03	4.09E-02
response to stress (GO:0006950)	752	130	93.09	+	1.40	8.00E-05	1.02E-03
signaling (GO:0023052)	367	63	45.43	+	1.39	6.60E-03	4.52E-02
signal transduction (GO:0007165)	367	63	45.43	+	1.39	6.60E-03	4.49E-02
response to stimulus (GO:0050896)	1206	206	149.29	+	1.38	1.26E-06	2.30E-05
transmembrane transport (GO:0055085)	423	71	52.36	+	1.36	7.29E-03	4.88E-02
cellular process (GO:0009987)	4405	461	545.29	-	.85	1.92E-05	2.67E-04
primary metabolic process (GO:0044238)	3237	331	400.71	-	.83	6.04E-05	7.88E-04
nitrogen compound metabolic process (GO:0006807)	2851	276	352.92	-	.78	2.32E-06	4.05E-05
localization (GO:0051179)	1136	106	140.62	-	.75	1.08E-03	1.03E-02
macromolecule metabolic process (GO:0043170)	2513	222	311.08	-	.71	4.58E-09	1.52E-07
biosynthetic process (GO:0009058)	1466	126	181.48	-	.69	2.63E-06	4.36E-05
regulation of biological process (GO:0050789)	1324	112	163.90	-	.68	4.44E-06	7.00E-05
biological regulation (GO:0065007)	1480	125	183.21	-	.68	8.60E-07	1.61E-05
regulation of cellular process (GO:0050794)	1265	104	156.59	-	.66	1.76E-06	3.12E-05
organic substance transport (GO:0071702)	359	28	44.44	-	.63	7.53E-03	5.02E-02
organic substance biosynthetic process (GO:1901576)	1425	110	176.40	-	.62	8.19E-09	2.41E-07
cellular biosynthetic process (GO:0044249)	1368	104	169.34	-	.61	6.90E-09	2.17E-07
protein modification by small protein conjugation or removal (GO:0070647)	312	21	38.62	-	.54	1.34E-03	1.23E-02
post-translational protein modification (GO:0043687)	317	21	39.24	-	.54	1.05E-03	1.01E-02
cellular component biogenesis (GO:0044085)	438	29	54.22	-	.53	9.74E-05	1.21E-03
organic cyclic compound metabolic process (GO:1901360)	1144	74	141.62	-	.52	3.00E-11	1.34E-09
cellular component assembly (GO:0022607)	248	16	30.70	-	.52	3.44E-03	2.56E-02
organophosphate metabolic process (GO:0019637)	282	18	34.91	-	.52	1.37E-03	1.25E-02
cellular component organization (GO:0016043)	734	44	90.86	-	.48	7.78E-09	2.34E-07
positive regulation of biological process (GO:0048518)	184	11	22.78	-	.48	6.61E-03	4.48E-02
