




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	low.genes.eq2.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	low.genes.eq2.txt (4536)	low.genes.eq2.txt (expected)	low.genes.eq2.txt (over/under)	low.genes.eq2.txt (fold Enrichment)	low.genes.eq2.txt (raw P-value)	low.genes.eq2.txt (FDR)
sulfur compound catabolic process (GO:0044273)	4	4	.67	+	6.01	7.65E-04	6.87E-03
RNA stabilization (GO:0043489)	3	3	.50	+	6.01	4.60E-03	2.86E-02
DNA methylation (GO:0006306)	3	3	.50	+	6.01	4.60E-03	2.85E-02
DNA alkylation (GO:0006305)	3	3	.50	+	6.01	4.60E-03	2.83E-02
endosome organization (GO:0007032)	4	4	.67	+	6.01	7.65E-04	6.82E-03
negative regulation of RNA catabolic process (GO:1902369)	3	3	.50	+	6.01	4.60E-03	2.82E-02
DNA modification (GO:0006304)	6	5	1.00	+	5.01	6.58E-04	6.03E-03
mitochondrial respiratory chain complex I assembly (GO:0032981)	5	4	.83	+	4.81	3.32E-03	2.27E-02
nuclear envelope organization (GO:0006998)	5	4	.83	+	4.81	3.32E-03	2.26E-02
nuclear membrane organization (GO:0071763)	5	4	.83	+	4.81	3.32E-03	2.25E-02
microautophagy (GO:0016237)	8	6	1.33	+	4.51	4.36E-04	4.44E-03
post-translational protein targeting to membrane, translocation (GO:0031204)	8	6	1.33	+	4.51	4.36E-04	4.40E-03
piecemeal microautophagy of the nucleus (GO:0034727)	8	6	1.33	+	4.51	4.36E-04	4.37E-03
nucleus organization (GO:0006997)	8	6	1.33	+	4.51	4.36E-04	4.33E-03
base-excision repair (GO:0006284)	11	8	1.83	+	4.37	5.97E-05	7.96E-04
signal peptide processing (GO:0006465)	9	6	1.50	+	4.01	1.12E-03	9.42E-03
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	6	4	1.00	+	4.01	8.64E-03	4.73E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	6	4	1.00	+	4.01	8.64E-03	4.71E-02
glycosyl compound catabolic process (GO:1901658)	9	6	1.50	+	4.01	1.12E-03	9.36E-03
glycosyl compound metabolic process (GO:1901657)	9	6	1.50	+	4.01	1.12E-03	9.30E-03
inner mitochondrial membrane organization (GO:0007007)	9	6	1.50	+	4.01	1.12E-03	9.24E-03
mitochondrial membrane organization (GO:0007006)	9	6	1.50	+	4.01	1.12E-03	9.18E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	14	9	2.33	+	3.86	8.67E-05	1.11E-03
ATP synthesis coupled electron transport (GO:0042773)	14	9	2.33	+	3.86	8.67E-05	1.10E-03
protein localization to cytoskeleton (GO:0044380)	8	5	1.33	+	3.76	4.57E-03	2.87E-02
transcription by RNA polymerase I (GO:0006360)	13	8	2.16	+	3.70	3.39E-04	3.75E-03
spliceosomal snRNP assembly (GO:0000387)	13	8	2.16	+	3.70	3.39E-04	3.72E-03
GPI anchor biosynthetic process (GO:0006506)	13	8	2.16	+	3.70	3.39E-04	3.69E-03
GPI anchor metabolic process (GO:0006505)	13	8	2.16	+	3.70	3.39E-04	3.66E-03
regulation of multicellular organismal development (GO:2000026)	13	8	2.16	+	3.70	3.39E-04	3.63E-03
respiratory electron transport chain (GO:0022904)	18	11	2.99	+	3.67	2.69E-05	4.15E-04
retrograde transport, endosome to Golgi (GO:0042147)	10	6	1.66	+	3.61	2.41E-03	1.83E-02
nucleotide-sugar transmembrane transport (GO:0015780)	10	6	1.66	+	3.61	2.41E-03	1.82E-02
branched-chain amino acid biosynthetic process (GO:0009082)	10	6	1.66	+	3.61	2.41E-03	1.81E-02
rRNA modification (GO:0000154)	20	12	3.33	+	3.61	1.49E-05	2.50E-04
establishment of protein localization to extracellular region (GO:0035592)	10	6	1.66	+	3.61	2.41E-03	1.80E-02
mitophagy (GO:0000423)	10	6	1.66	+	3.61	2.41E-03	1.79E-02
protein secretion (GO:0009306)	10	6	1.66	+	3.61	2.41E-03	1.78E-02
rRNA methylation (GO:0031167)	10	6	1.66	+	3.61	2.41E-03	1.77E-02
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	10	6	1.66	+	3.61	2.41E-03	1.76E-02
protein localization to extracellular region (GO:0071692)	10	6	1.66	+	3.61	2.41E-03	1.75E-02
aerobic electron transport chain (GO:0019646)	16	9	2.66	+	3.38	3.60E-04	3.78E-03
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	9	5	1.50	+	3.34	8.87E-03	4.82E-02
electron transport chain (GO:0022900)	33	18	5.49	+	3.28	7.49E-07	1.67E-05
protein targeting to ER (GO:0045047)	22	12	3.66	+	3.28	5.49E-05	7.72E-04
ncRNA transcription (GO:0098781)	11	6	1.83	+	3.28	4.56E-03	2.90E-02
cytosolic transport (GO:0016482)	11	6	1.83	+	3.28	4.56E-03	2.89E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	22	12	3.66	+	3.28	5.49E-05	7.64E-04
protein targeting to vacuole (GO:0006623)	11	6	1.83	+	3.28	4.56E-03	2.88E-02
spindle assembly (GO:0051225)	24	13	3.99	+	3.26	2.95E-05	4.43E-04
establishment of protein localization to vacuole (GO:0072666)	15	8	2.50	+	3.21	1.24E-03	1.01E-02
protein localization to vacuole (GO:0072665)	15	8	2.50	+	3.21	1.24E-03	1.00E-02
snRNA metabolic process (GO:0016073)	15	8	2.50	+	3.21	1.24E-03	9.94E-03
cytoplasmic translation (GO:0002181)	47	25	7.82	+	3.20	1.05E-08	3.02E-07
regulation of multicellular organismal process (GO:0051239)	17	9	2.83	+	3.18	6.52E-04	6.02E-03
oxidative phosphorylation (GO:0006119)	18	9	2.99	+	3.01	1.11E-03	9.39E-03
autophagosome assembly (GO:0000045)	33	16	5.49	+	2.91	2.23E-05	3.52E-04
glucose 6-phosphate metabolic process (GO:0051156)	21	10	3.49	+	2.86	9.54E-04	8.17E-03
ribosomal large subunit assembly (GO:0000027)	19	9	3.16	+	2.85	1.80E-03	1.42E-02
mitochondrial gene expression (GO:0140053)	15	7	2.50	+	2.80	6.52E-03	3.75E-02
organelle assembly (GO:0070925)	108	50	17.97	+	2.78	6.18E-13	2.96E-11
translation (GO:0006412)	191	88	31.78	+	2.77	1.78E-21	4.60E-19
peptide biosynthetic process (GO:0043043)	191	88	31.78	+	2.77	1.78E-21	3.83E-19
mitochondrion organization (GO:0007005)	74	34	12.31	+	2.76	3.78E-09	1.16E-07
aerobic respiration (GO:0009060)	44	20	7.32	+	2.73	7.44E-06	1.41E-04
cellular respiration (GO:0045333)	44	20	7.32	+	2.73	7.44E-06	1.39E-04
protein processing (GO:0016485)	22	10	3.66	+	2.73	1.49E-03	1.19E-02
chromosome segregation (GO:0007059)	38	17	6.32	+	2.69	4.61E-05	6.62E-04
energy derivation by oxidation of organic compounds (GO:0015980)	47	21	7.82	+	2.69	6.18E-06	1.21E-04
macroautophagy (GO:0016236)	36	16	5.99	+	2.67	8.46E-05	1.11E-03
liposaccharide metabolic process (GO:1903509)	18	8	2.99	+	2.67	5.26E-03	3.18E-02
glycolipid metabolic process (GO:0006664)	18	8	2.99	+	2.67	5.26E-03	3.17E-02
glycolipid biosynthetic process (GO:0009247)	18	8	2.99	+	2.67	5.26E-03	3.15E-02
vacuole organization (GO:0007033)	36	16	5.99	+	2.67	8.46E-05	1.09E-03
biogenic amine metabolic process (GO:0006576)	27	12	4.49	+	2.67	6.51E-04	6.06E-03
ribosomal large subunit biogenesis (GO:0042273)	52	23	8.65	+	2.66	2.79E-06	6.02E-05
spindle organization (GO:0007051)	34	15	5.66	+	2.65	1.56E-04	1.85E-03
non-membrane-bounded organelle assembly (GO:0140694)	73	32	12.15	+	2.63	4.36E-08	1.08E-06
transcription by RNA polymerase II (GO:0006366)	46	20	7.65	+	2.61	1.69E-05	2.73E-04
protein-RNA complex assembly (GO:0022618)	81	35	13.48	+	2.60	1.62E-08	4.37E-07
translational initiation (GO:0006413)	35	15	5.82	+	2.58	2.31E-04	2.64E-03
RNA methylation (GO:0001510)	33	14	5.49	+	2.55	4.21E-04	4.32E-03
negative regulation of cell cycle process (GO:0010948)	19	8	3.16	+	2.53	7.78E-03	4.36E-02
maturation of 5.8S rRNA (GO:0000460)	19	8	3.16	+	2.53	7.78E-03	4.34E-02
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	8	3.16	+	2.53	7.78E-03	4.32E-02
negative regulation of cell cycle phase transition (GO:1901988)	19	8	3.16	+	2.53	7.78E-03	4.30E-02
protein-RNA complex organization (GO:0071826)	84	35	13.98	+	2.50	4.99E-08	1.22E-06
aspartate family amino acid biosynthetic process (GO:0009067)	24	10	3.99	+	2.50	3.28E-03	2.28E-02
transcription initiation at RNA polymerase II promoter (GO:0006367)	24	10	3.99	+	2.50	3.28E-03	2.27E-02
intracellular protein transmembrane transport (GO:0065002)	24	10	3.99	+	2.50	3.28E-03	2.26E-02
amide biosynthetic process (GO:0043604)	225	93	37.43	+	2.48	1.21E-18	1.42E-16
protein localization to mitochondrion (GO:0070585)	37	15	6.16	+	2.44	4.77E-04	4.64E-03
establishment of protein localization to mitochondrion (GO:0072655)	37	15	6.16	+	2.44	4.77E-04	4.60E-03
establishment of protein localization to organelle (GO:0072594)	112	45	18.63	+	2.41	3.96E-09	1.19E-07
intracellular signaling cassette (GO:0141124)	25	10	4.16	+	2.40	4.66E-03	2.84E-02
protein localization to endoplasmic reticulum (GO:0070972)	35	14	5.82	+	2.40	8.58E-04	7.50E-03
autophagy (GO:0006914)	41	16	6.82	+	2.35	5.19E-04	4.97E-03
process utilizing autophagic mechanism (GO:0061919)	41	16	6.82	+	2.35	5.19E-04	4.93E-03
alcohol biosynthetic process (GO:0046165)	26	10	4.33	+	2.31	6.46E-03	3.76E-02
autophagy of mitochondrion (GO:0000422)	26	10	4.33	+	2.31	6.46E-03	3.75E-02
positive regulation of molecular function (GO:0044093)	26	10	4.33	+	2.31	6.46E-03	3.73E-02
protein localization to organelle (GO:0033365)	138	53	22.96	+	2.31	1.07E-09	3.55E-08
ribonucleoprotein complex biogenesis (GO:0022613)	204	78	33.94	+	2.30	1.65E-13	9.28E-12
RNA 3'-end processing (GO:0031123)	45	17	7.49	+	2.27	8.23E-04	7.29E-03
ribosome biogenesis (GO:0042254)	159	60	26.45	+	2.27	1.41E-10	5.21E-09
cellular nitrogen compound biosynthetic process (GO:0044271)	422	159	70.21	+	2.26	1.33E-25	8.61E-23
protein targeting to mitochondrion (GO:0006626)	35	13	5.82	+	2.23	4.57E-03	2.85E-02
protein transmembrane transport (GO:0071806)	54	20	8.98	+	2.23	3.04E-04	3.38E-03
