




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	low.genes.gt3.lt10.txt (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	low.genes.gt3.lt10.txt (8209)	low.genes.gt3.lt10.txt (expected)	low.genes.gt3.lt10.txt (over/under)	low.genes.gt3.lt10.txt (fold Enrichment)	low.genes.gt3.lt10.txt (raw P-value)	low.genes.gt3.lt10.txt (FDR)
intracellular glucose homeostasis (GO:0001678)	6	6	1.81	+	3.32	7.44E-04	5.17E-03
carbohydrate phosphorylation (GO:0046835)	6	6	1.81	+	3.32	7.44E-04	5.15E-03
cytochrome complex assembly (GO:0017004)	4	4	1.20	+	3.32	8.21E-03	3.86E-02
extracellular matrix organization (GO:0030198)	5	5	1.51	+	3.32	2.47E-03	1.37E-02
positive regulation of protein phosphorylation (GO:0001934)	6	6	1.81	+	3.32	7.44E-04	5.12E-03
response to glucose (GO:0009749)	5	5	1.51	+	3.32	2.47E-03	1.37E-02
regulation of circadian rhythm (GO:0042752)	4	4	1.20	+	3.32	8.21E-03	3.85E-02
innate immune response (GO:0045087)	8	8	2.41	+	3.32	6.74E-05	7.14E-04
aromatic amino acid family catabolic process (GO:0009074)	16	16	4.82	+	3.32	4.52E-09	1.42E-07
positive regulation of phosphorus metabolic process (GO:0010562)	6	6	1.81	+	3.32	7.44E-04	5.09E-03
regulation of membrane potential (GO:0042391)	4	4	1.20	+	3.32	8.21E-03	3.83E-02
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	5	5	1.51	+	3.32	2.47E-03	1.36E-02
G protein-coupled receptor signaling pathway (GO:0007186)	6	6	1.81	+	3.32	7.44E-04	5.06E-03
positive regulation of phosphorylation (GO:0042327)	6	6	1.81	+	3.32	7.44E-04	5.04E-03
carotenoid biosynthetic process (GO:0016117)	5	5	1.51	+	3.32	2.47E-03	1.35E-02
positive regulation of phosphate metabolic process (GO:0045937)	6	6	1.81	+	3.32	7.44E-04	5.01E-03
respiratory chain complex IV assembly (GO:0008535)	4	4	1.20	+	3.32	8.21E-03	3.82E-02
inorganic anion transport (GO:0015698)	8	8	2.41	+	3.32	6.74E-05	7.08E-04
mitochondrial cytochrome c oxidase assembly (GO:0033617)	4	4	1.20	+	3.32	8.21E-03	3.81E-02
positive regulation of protein modification process (GO:0031401)	6	6	1.81	+	3.32	7.44E-04	4.99E-03
rhythmic process (GO:0048511)	4	4	1.20	+	3.32	8.21E-03	3.79E-02
extracellular structure organization (GO:0043062)	5	5	1.51	+	3.32	2.47E-03	1.35E-02
inorganic anion transmembrane transport (GO:0098661)	5	5	1.51	+	3.32	2.47E-03	1.34E-02
calcium ion transmembrane import into cytosol (GO:0097553)	4	4	1.20	+	3.32	8.21E-03	3.78E-02
negative regulation of sequestering of calcium ion (GO:0051283)	4	4	1.20	+	3.32	8.21E-03	3.77E-02
regulation of sequestering of calcium ion (GO:0051282)	4	4	1.20	+	3.32	8.21E-03	3.75E-02
glucose homeostasis (GO:0042593)	6	6	1.81	+	3.32	7.44E-04	4.96E-03
release of sequestered calcium ion into cytosol (GO:0051209)	4	4	1.20	+	3.32	8.21E-03	3.74E-02
intermembrane lipid transfer (GO:0120009)	6	6	1.81	+	3.32	7.44E-04	4.93E-03
tyrosine metabolic process (GO:0006570)	4	4	1.20	+	3.32	8.21E-03	3.73E-02
carbohydrate homeostasis (GO:0033500)	6	6	1.81	+	3.32	7.44E-04	4.91E-03
secondary alcohol metabolic process (GO:1902652)	6	6	1.81	+	3.32	7.44E-04	4.88E-03
circadian rhythm (GO:0007623)	4	4	1.20	+	3.32	8.21E-03	3.71E-02
phosphate ion transport (GO:0006817)	8	8	2.41	+	3.32	6.74E-05	7.03E-04
hormone transport (GO:0009914)	9	9	2.71	+	3.32	2.03E-05	2.57E-04
programmed cell death (GO:0012501)	7	7	2.11	+	3.32	2.24E-04	1.86E-03
cell death (GO:0008219)	7	7	2.11	+	3.32	2.24E-04	1.84E-03
glycosaminoglycan metabolic process (GO:0030203)	7	7	2.11	+	3.32	2.24E-04	1.83E-03
potassium ion transmembrane transport (GO:0071805)	10	9	3.01	+	2.99	1.48E-04	1.34E-03
amino acid catabolic process (GO:0009063)	37	33	11.14	+	2.96	9.98E-14	9.22E-12
immune system process (GO:0002376)	9	8	2.71	+	2.95	4.44E-04	3.32E-03
immune response (GO:0006955)	9	8	2.71	+	2.95	4.44E-04	3.30E-03
pattern specification process (GO:0007389)	9	8	2.71	+	2.95	4.44E-04	3.28E-03
defense response to symbiont (GO:0140546)	9	8	2.71	+	2.95	4.44E-04	3.26E-03
external encapsulating structure organization (GO:0045229)	15	13	4.52	+	2.88	9.06E-06	1.26E-04
