




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	L_0_TAGs.tsv (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	L_0_TAGs.tsv (2484)	L_0_TAGs.tsv (expected)	L_0_TAGs.tsv (over/under)	L_0_TAGs.tsv (fold Enrichment)	L_0_TAGs.tsv (raw P-value)	L_0_TAGs.tsv (FDR)
long-chain fatty acid metabolic process (GO:0001676)	16	11	1.46	+	7.55	9.96E-09	5.60E-07
jasmonic acid metabolic process (GO:0009694)	16	11	1.46	+	7.55	9.96E-09	5.37E-07
response to abscisic acid (GO:0009737)	30	13	2.73	+	4.76	7.82E-07	2.73E-05
glucan biosynthetic process (GO:0009250)	40	16	3.64	+	4.39	1.61E-07	6.51E-06
glutathione metabolic process (GO:0006749)	65	26	5.92	+	4.39	2.30E-11	2.70E-09
diterpenoid biosynthetic process (GO:0016102)	20	7	1.82	+	3.84	1.38E-03	1.68E-02
cellular modified amino acid metabolic process (GO:0006575)	91	28	8.29	+	3.38	4.70E-09	3.04E-07
glucan metabolic process (GO:0044042)	55	16	5.01	+	3.19	2.03E-05	4.04E-04
sulfur compound metabolic process (GO:0006790)	172	48	15.67	+	3.06	9.95E-13	1.84E-10
cellular response to lipid (GO:0071396)	37	10	3.37	+	2.97	1.35E-03	1.67E-02
response to lipid (GO:0033993)	50	13	4.56	+	2.85	4.09E-04	5.46E-03
sterol metabolic process (GO:0016125)	60	15	5.47	+	2.74	2.42E-04	3.51E-03
polysaccharide biosynthetic process (GO:0000271)	69	17	6.29	+	2.70	1.16E-04	1.90E-03
steroid metabolic process (GO:0008202)	62	15	5.65	+	2.66	3.55E-04	4.89E-03
fatty acid metabolic process (GO:0006631)	69	16	6.29	+	2.55	3.84E-04	5.22E-03
organic hydroxy compound metabolic process (GO:1901615)	128	29	11.66	+	2.49	3.40E-06	9.36E-05
methylation (GO:0032259)	100	22	9.11	+	2.41	7.92E-05	1.37E-03
defense response (GO:0006952)	335	67	30.52	+	2.20	6.99E-10	5.65E-08
cell surface receptor signaling pathway (GO:0007166)	85	16	7.74	+	2.07	4.23E-03	4.02E-02
cell wall organization or biogenesis (GO:0071554)	104	19	9.48	+	2.01	3.08E-03	3.04E-02
polysaccharide metabolic process (GO:0005976)	105	19	9.57	+	1.99	3.34E-03	3.27E-02
response to external biotic stimulus (GO:0043207)	287	50	26.15	+	1.91	7.31E-06	1.85E-04
response to other organism (GO:0051707)	287	50	26.15	+	1.91	7.31E-06	1.82E-04
response to biotic stimulus (GO:0009607)	287	50	26.15	+	1.91	7.31E-06	1.78E-04
defense response to other organism (GO:0098542)	287	50	26.15	+	1.91	7.31E-06	1.75E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	288	50	26.24	+	1.91	1.11E-05	2.43E-04
response to external stimulus (GO:0009605)	312	50	28.43	+	1.76	9.42E-05	1.58E-03
lipid metabolic process (GO:0006629)	379	54	34.53	+	1.56	1.12E-03	1.39E-02
response to stress (GO:0006950)	752	100	68.51	+	1.46	1.40E-04	2.23E-03
response to stimulus (GO:0050896)	1206	146	109.88	+	1.33	4.00E-04	5.39E-03
Unclassified (UNCLASSIFIED)	20681	1960	1884.23	+	1.04	1.68E-04	2.65E-03
