




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	L_all_non_TAGs.tsv (Oryza sativa)
Reference List:	BACKGROUND.txt (Oryza sativa)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	BACKGROUND.txt - REFLIST (27264)	L_all_non_TAGs.tsv (6863)	L_all_non_TAGs.tsv (expected)	L_all_non_TAGs.tsv (over/under)	L_all_non_TAGs.tsv (fold Enrichment)	L_all_non_TAGs.tsv (raw P-value)	L_all_non_TAGs.tsv (FDR)
fluid transport (GO:0042044)	8	8	2.01	+	3.97	1.61E-05	3.65E-04
water transport (GO:0006833)	8	8	2.01	+	3.97	1.61E-05	3.58E-04
regulation of cell shape (GO:0008360)	8	7	2.01	+	3.48	3.99E-04	6.06E-03
intracellular glucose homeostasis (GO:0001678)	6	5	1.51	+	3.31	4.79E-03	4.36E-02
carbohydrate phosphorylation (GO:0046835)	6	5	1.51	+	3.31	4.79E-03	4.33E-02
glucose homeostasis (GO:0042593)	6	5	1.51	+	3.31	4.79E-03	4.30E-02
carbohydrate homeostasis (GO:0033500)	6	5	1.51	+	3.31	4.79E-03	4.27E-02
carbohydrate transport (GO:0008643)	19	15	4.78	+	3.14	1.35E-06	3.30E-05
cellular response to organic cyclic compound (GO:0071407)	8	6	2.01	+	2.98	4.38E-03	4.14E-02
peptidyl-serine phosphorylation (GO:0018105)	69	46	17.37	+	2.65	4.67E-13	2.16E-11
peptidyl-serine modification (GO:0018209)	69	46	17.37	+	2.65	4.67E-13	2.08E-11
protein phosphorylation (GO:0006468)	448	295	112.77	+	2.62	1.48E-74	1.92E-71
hormone biosynthetic process (GO:0042446)	20	13	5.03	+	2.58	1.97E-04	3.22E-03
phosphorylation (GO:0016310)	468	302	117.81	+	2.56	3.62E-73	2.34E-70
cytokinesis (GO:0000910)	25	16	6.29	+	2.54	4.68E-05	9.76E-04
mitotic cytokinesis (GO:0000281)	23	14	5.79	+	2.42	3.04E-04	4.74E-03
cytoskeleton-dependent cytokinesis (GO:0061640)	23	14	5.79	+	2.42	3.04E-04	4.68E-03
cell surface receptor signaling pathway (GO:0007166)	85	51	21.40	+	2.38	1.06E-11	4.27E-10
mitotic cell cycle phase transition (GO:0044772)	27	16	6.80	+	2.35	1.75E-04	2.98E-03
cell cycle phase transition (GO:0044770)	27	16	6.80	+	2.35	1.75E-04	2.94E-03
peptidyl-threonine phosphorylation (GO:0018107)	17	10	4.28	+	2.34	3.27E-03	3.41E-02
oligosaccharide biosynthetic process (GO:0009312)	17	10	4.28	+	2.34	3.27E-03	3.38E-02
RNA modification (GO:0009451)	172	100	43.30	+	2.31	4.87E-20	3.15E-18
potassium ion transport (GO:0006813)	30	17	7.55	+	2.25	4.00E-04	6.01E-03
intracellular signal transduction (GO:0035556)	131	73	32.98	+	2.21	1.15E-13	5.51E-12
gibberellin metabolic process (GO:0009685)	18	10	4.53	+	2.21	5.70E-03	4.91E-02
secondary metabolic process (GO:0019748)	62	34	15.61	+	2.18	9.19E-07	2.28E-05
