family_id	chr	gene1	gene2	spacers
1	1	Os01t0117300-00	Os01t0117400-00	0
1	5	Os05t0125300-00	Os05t0125400-00	0
1	4	Os04t0307900-00	Os04t0308100-01	0
1	9	Os09t0570000-01	Os09t0570100-01	0
1	11	Os11t0212900-01	Os11t0213000-01	0
1	11	Os11t0608300-01	Os11t0608700-00	0
1	11	Os11t0666200-00	Os11t0666300-00	0
1	11	Os11t0666300-00	Os11t0667000-00	0
2	6	Os06t0185700-01	Os06t0185800-01	0
3	2	Os02t0153100-00	Os02t0153200-01	0
3	2	Os02t0153700-01	Os02t0153900-01	0
3	2	Os02t0153900-01	Os02t0154000-00	0
3	2	Os02t0155400-01	Os02t0155600-00	0
3	2	Os02t0155600-00	Os02t0155700-00	0
3	2	Os02t0156600-00	Os02t0156633-00	0
3	2	Os02t0211800-00	Os02t0211900-00	0
3	2	Os02t0609900-00	Os02t0610000-00	0
3	6	Os06t0186100-00	Os06t0186300-00	0
3	6	Os06t0692100-01	Os06t0692300-00	0
3	6	Os06t0692300-00	Os06t0692500-00	0
3	6	Os06t0692500-00	Os06t0692600-01	0
3	11	Os11t0173500-03	Os11t0173550-01	0
3	11	Os11t0173800-01	Os11t0173900-00	0
3	11	Os11t0568800-00	Os11t0569300-00	0
3	11	Os11t0569300-00	Os11t0569500-01	0
3	11	Os11t0569500-01	Os11t0569600-01	0
3	11	Os11t0569600-01	Os11t0569733-00	0
3	11	Os11t0569733-00	Os11t0569800-01	0
3	11	Os11t0569800-01	Os11t0570000-01	0
3	10	Os10t0155700-00	Os10t0155800-01	0
3	10	Os10t0374600-00	Os10t0375000-01	0
3	10	Os10t0469300-00	Os10t0469600-01	0
3	12	Os12t0632800-00	Os12t0632900-01	0
4	6	Os06t0282000-01	Os06t0282400-00	0
4	6	Os06t0590700-01	Os06t0590800-00	0
4	6	Os06t0593200-01	Os06t0593800-01	0
4	5	Os05t0177500-01	Os05t0177800-00	0
4	5	Os05t0499800-02	Os05t0500000-00	0
4	5	Os05t0526800-01	Os05t0526900-01	0
4	5	Os05t0526900-01	Os05t0527000-01	0
4	5	Os05t0527000-01	Os05t0527100-00	0
4	5	Os05t0527800-01	Os05t0527900-01	0
4	1	Os01t0175850-00	Os01t0176000-01	0
4	1	Os01t0597800-01	Os01t0598000-00	0
4	1	Os01t0638000-01	Os01t0638600-00	0
4	1	Os01t0686200-01	Os01t0686300-01	0
4	1	Os01t0734600-01	Os01t0734800-01	0
4	1	Os01t0736100-01	Os01t0736300-01	0
4	1	Os01t0805400-01	Os01t0805500-00	0
4	3	Os03t0757100-00	Os03t0757200-01	0
4	3	Os03t0757500-01	Os03t0757600-01	0
4	9	Os09t0329200-00	Os09t0330000-00	0
4	9	Os09t0518000-00	Os09t0518200-01	0
4	7	Os07t0241500-01	Os07t0241600-00	0
4	7	Os07t0241600-00	Os07t0241700-00	0
4	7	Os07t0489200-01	Os07t0489300-01	0
4	7	Os07t0510400-02	Os07t0510500-01	0
4	4	Os04t0319700-00	Os04t0319800-01	0
4	4	Os04t0326100-00	Os04t0326201-00	0
4	4	Os04t0556400-01	Os04t0556500-01	0
4	4	Os04t0556500-01	Os04t0556600-01	0
4	4	Os04t0565200-01	Os04t0565400-01	0
4	10	Os10t0332000-01	Os10t0332300-00	0
4	2	Os02t0242100-01	Os02t0242550-00	0
