hit,seq1,seq2,S,N,t,kappa,omega,dN,dN_SE,dS,dS_SE
Os07t0103000-01_Os08t0462000-01,Os07t0103000-01,Os08t0462000-01,58.2,163.8,3.4734,1.3195,0.0755,0.2749,0.0475,3.641,7.3381
Os08t0552000-00_Os08t0552400-00,Os08t0552000-00,Os08t0552400-00,168.8,455.2,0.4002,3.8918,0.5292,0.1075,0.0164,0.2032,0.0398
Os04t0532400-01_Os02t0640800-03,Os04t0532400-01,Os02t0640800-03,211.1,706.9,2.2129,1.9203,0.2147,0.4007,0.0299,1.866,0.7194
Os07t0540800-00_Os07t0537000-01,Os07t0540800-00,Os07t0537000-01,321.6,1079.4,1.1894,1.67,0.4028,0.2958,0.0195,0.7344,0.079
Os02t0562300-01_Os04t0444200-01,Os02t0562300-01,Os04t0444200-01,485.0,1453.0,0.956,1.9021,0.117,0.1103,0.0092,0.9429,0.1123
Os11t0662100-00_Os07t0640300-00,Os11t0662100-00,Os07t0640300-00,85.0,206.0,0.0629,3.5145,2.0825,0.0247,0.0111,0.0119,0.0119
Os01t0249200-01_Os03t0693700-01,Os01t0249200-01,Os03t0693700-01,67.3,595.7,1.983,1.6705,0.12,0.3789,0.0311,3.1571,3.604
Os04t0481900-00_Os02t0454500-01,Os04t0481900-00,Os02t0454500-01,161.3,858.7,1.7706,1.6454,0.178,0.3411,0.0242,1.9164,0.468
Os03t0162200-01_Os03t0743400-01,Os03t0162200-01,Os03t0743400-01,83.7,327.3,2.1124,1.3963,0.0145,0.0473,0.0123,3.2713,3.7557
Os10t0337600-01_Os02t0602800-01,Os10t0337600-01,Os02t0602800-01,113.7,291.3,2.1097,1.9126,0.2499,0.3815,0.0449,1.527,0.3421
Os10t0441900-01_Os07t0130200-01,Os10t0441900-01,Os07t0130200-01,327.1,1712.9,2.8054,2.2574,0.0655,0.2843,0.0151,4.3428,7.8557
Os08t0553100-00_Os08t0553000-00,Os08t0553100-00,Os08t0553000-00,178.4,523.6,0.3065,2.5959,0.4588,0.0786,0.0128,0.1713,0.0347
Os07t0120650-01_Os07t0120100-01,Os07t0120650-01,Os07t0120100-01,86.2,339.8,0.5131,7.8434,0.0816,0.0522,0.0129,0.6393,0.1688
Os11t0134400-00_Os03t0319300-01,Os11t0134400-00,Os03t0319300-01,34.0,410.0,23.2379,1.0282,0.0017,0.1702,0.0224,99.0,0.0
Os12t0197100-01_Os08t0191200-01,Os12t0197100-01,Os08t0191200-01,443.4,1107.6,1.1213,2.569,0.1644,0.1524,0.0127,0.9267,0.1097
Os01t0100800-01_Os05t0103700-01,Os01t0100800-01,Os05t0103700-01,276.0,765.0,1.5403,1.8446,0.3971,0.3661,0.0268,0.9218,0.1282
Os05t0477666-00_Os05t0277100-00,Os05t0477666-00,Os05t0277100-00,192.1,374.9,1.1864,0.5785,1.2391,0.4231,0.044,0.3415,0.0513
Os02t0271600-00_Os04t0121300-00,Os02t0271600-00,Os04t0121300-00,534.3,1463.7,2.744,1.6564,0.2031,0.4463,0.0225,2.1977,0.3678
Os06t0113800-00_Os09t0273800-01,Os06t0113800-00,Os09t0273800-01,52.8,436.2,1.2226,2.37,0.2435,0.3051,0.0314,1.2532,0.6024
