pair	dS	dN	t	kappa	omega	dN_SE	dS_SE
OB01G10070.1_OB01G27580.1	0.0223	0.0154	0.0523	7.2802	0.6886	0.0031	0.0058
OB01G10140.1_OB04G17670.1	1.1080	0.4119	1.5042	1.1689	0.3718	0.0604	0.7022
OB01G10230.1_OB05G10230.1	1.1443	0.1167	1.0722	1.8305	0.1020	0.0158	0.2650
OB01G10350.1_OB12G20270.1	2.2442	0.1413	2.0758	2.7669	0.0630	0.0241	2.4172
OB01G10390.1_OB06G23070.1	3.9552	0.3190	3.2606	1.6139	0.0807	0.0249	6.0792
OB01G10390.1_OB06G23100.1	3.6928	0.3210	2.5346	1.2508	0.0869	0.0247	5.1141
OB01G10400.1_OB01G10390.1	0.5547	0.1142	0.5066	1.3137	0.2059	0.0125	0.1340
OB01G10400.1_OB06G23070.1	3.9990	0.3266	3.4143	1.8944	0.0817	0.0253	6.2574
OB01G10400.1_OB06G23100.1	3.7032	0.3142	2.5283	1.3868	0.0848	0.0242	5.1492
OB01G10530.1_OB05G10100.1	1.0163	0.2476	1.3405	2.1689	0.2436	0.0141	0.1201
OB01G10720.1_OB09G11360.1	2.2190	0.1399	2.0765	1.9825	0.0630	0.0136	0.4893
OB01G10860.1_OB02G18690.1	3.0069	0.4198	2.6717	2.1171	0.1396	0.0405	18.6858
OB01G10860.1_OB04G18900.1	3.2633	0.3488	2.3681	1.8512	0.1069	0.0343	3.8613
OB01G10860.1_OB12G16210.1	3.2709	0.3872	2.4830	2.2451	0.1184	0.0372	3.8806
OB01G10980.1_OB01G11080.1	1.4674	0.3038	1.8135	2.2446	0.2070	0.0178	0.3183
OB01G10980.1_OB01G11120.1	0.9645	0.3348	1.5081	2.4297	0.3471	0.0191	0.1174
OB01G10980.1_OB01G11150.1	1.1900	0.3025	1.5926	2.1251	0.2542	0.0177	0.1861
OB01G11030.1_OB01G11020.1	0.3061	0.1308	0.5292	2.5555	0.4271	0.0116	0.0341
OB01G11040.1_OB01G11000.1	1.5412	0.3750	2.0248	2.5464	0.2433	0.0202	0.3433
OB01G11050.1_OB01G10980.1	1.4917	0.2677	1.7136	1.7980	0.1795	0.0162	0.3366
OB01G11050.1_OB01G11080.1	0.9607	0.2641	1.3157	1.9985	0.2749	0.0160	0.1140
OB01G11050.1_OB01G11120.1	0.9108	0.2491	1.2742	2.4966	0.2735	0.0156	0.1031
OB01G11050.1_OB01G11150.1	1.0064	0.2540	1.3286	1.9107	0.2524	0.0156	0.1245
OB01G11060.1_OB01G11000.1	1.8767	0.3808	2.3606	3.0183	0.2029	0.0203	0.6534
OB01G11060.1_OB01G11040.1	1.2675	0.3521	1.7303	1.8591	0.2778	0.0189	0.1909
OB01G11080.1_OB01G11150.1	0.7198	0.2779	1.1729	2.1414	0.3861	0.0164	0.0717
OB01G11090.1_OB01G11000.1	1.2284	0.3421	1.7017	1.8850	0.2785	0.0186	0.1134
OB01G11090.1_OB01G11040.1	1.2759	0.3069	1.6653	2.0353	0.2405	0.0174	0.1938
