family_id	chr	array_size	genes	spacers
7	6	2	Os06t0640100-00,Os06t0641500-00	7
7	6	2	Os06t0642200-00,Os06t0642600-00	6
24	7	2	Os07t0537500-01,Os07t0538200-01	6
27	4	2	Os04t0314100-00,Os04t0319700-00	10
32	12	2	Os12t0468000-01,Os12t0470700-01	7
37	1	2	Os01t0114600-00,Os01t0115700-00	9
37	1	2	Os01t0116400-01,Os01t0117000-00	6
47	4	2	Os04t0632100-01,Os04t0632500-00	6
49	1	2	Os01t0372400-01,Os01t0374000-01	8
53	7	2	Os07t0593100-00,Os07t0595750-00	9
62	12	2	Os12t0211500-01,Os12t0215950-01	7
76	2	2	Os02t0210700-01,Os02t0211800-00	7
78	1	2	Os01t0842500-01,Os01t0843800-00	6
99	1	2	Os01t0152300-00,Os01t0152900-00	6
107	11	2	Os11t0227800-01,Os11t0229300-00	6
109	12	2	Os12t0512100-01,Os12t0514000-01	7
134	1	2	Os01t0153800-00,Os01t0155000-02	10
149	10	2	Os10t0513900-01,Os10t0514700-00	7
160	4	2	Os04t0340300-01,Os04t0344100-01	8
177	6	2	Os06t0141700-01,Os06t0142200-01	6
204	11	2	Os11t0431700-01,Os11t0432900-01	6
218	7	2	Os07t0486700-00,Os07t0489200-01	6
223	6	2	Os06t0719600-01,Os06t0720400-01	6
223	6	2	Os06t0720700-01,Os06t0722450-01	8
233	7	2	Os07t0538000-01,Os07t0539100-02	7
250	4	2	Os04t0370600-01,Os04t0371600-01	6
261	6	2	Os06t0526400-00,Os06t0527800-01	9
267	5	2	Os05t0569700-00,Os05t0570400-00	7
289	6	2	Os06t0242000-01,Os06t0244000-01	6
290	8	2	Os08t0203400-01,Os08t0203700-01	6
350	3	2	Os03t0356900-01,Os03t0358900-00	7
357	4	2	Os04t0447400-01,Os04t0447800-01	6
359	7	2	Os07t0257200-01,Os07t0258400-03	6
360	2	2	Os02t0214900-01,Os02t0215200-02	6
373	11	2	Os11t0664000-01,Os11t0666200-00	9
384	9	2	Os09t0502500-01,Os09t0503100-01	6
407	1	3	Os01t0113800-01,Os01t0114700-00,Os01t0115600-01	9,7
408	1	2	Os01t0136400-01,Os01t0136900-00	7
422	7	2	Os07t0500300-01,Os07t0501700-01	6
424	6	2	Os06t0114500-02,Os06t0115100-01	8
449	7	2	Os07t0525100-01,Os07t0527000-00	9
462	8	2	Os08t0552633-00,Os08t0553150-00	6
506	3	2	Os03t0557900-00,Os03t0561283-01	8
510	10	2	Os10t0107000-00,Os10t0109300-01	7
556	6	3	Os06t0720100-00,Os06t0720601-01,Os06t0722201-00	6,8
578	6	2	Os06t0640800-00,Os06t0641600-00	6
579	11	2	Os11t0639300-01,Os11t0640500-00	6
585	3	2	Os03t0699700-01,Os03t0700700-01	8
620	11	2	Os11t0673600-00,Os11t0675200-00	6
636	7	3	Os07t0537900-01,Os07t0538700-01,Os07t0539700-01	8,6
696	2	2	Os02t0169700-01,Os02t0170100-02	7
760	6	2	Os06t0188700-00,Os06t0190500-01	9
774	11	2	Os11t0690066-00,Os11t0691280-00	6
851	2	2	Os02t0599150-01,Os02t0600033-00	9
855	2	2	Os02t0467000-00,Os02t0467600-01	6
863	11	2	Os11t0692500-00,Os11t0695000-01	8
875	2	2	Os02t0214766-00,Os02t0215300-00	7
953	5	2	Os05t0215066-00,Os05t0217800-01	10
981	4	2	Os04t0155000-00,Os04t0160600-00	8
1104	11	2	Os11t0172300-01,Os11t0173550-01	8
1118	11	2	Os11t0605100-01,Os11t0606400-02	9
1191	6	2	Os06t0720500-01,Os06t0722300-01	8
1237	11	2	Os11t0690332-00,Os11t0691400-00	6
1240	7	2	Os07t0636800-01,Os07t0637700-00	10
1280	9	2	Os09t0348600-00,Os09t0351700-00	7
1324	9	2	Os09t0448100-01,Os09t0449600-01	9
1340	9	2	Os09t0545650-00,Os09t0547067-00	9
1345	4	2	Os04t0452650-00,Os04t0453450-00	7
1475	2	2	Os02t0155900-00,Os02t0157000-00	10
1484	4	2	Os04t0633225-00,Os04t0633950-00	7
1617	7	2	Os07t0287400-01,Os07t0290200-01	7
1633	10	2	Os10t0317900-01,Os10t0320100-01	6
1641	8	2	Os08t0215900-00,Os08t0217800-00	6
1645	10	2	Os10t0206500-00,Os10t0208600-01	10
1682	12	2	Os12t0211600-01,Os12t0216000-01	7
1697	8	2	Os08t0124750-00,Os08t0125850-00	10
1719	6	2	Os06t0675700-01,Os06t0676700-02	6
1781	4	2	Os04t0135400-00,Os04t0138800-00	10
1800	4	2	Os04t0308500-01,Os04t0310100-01	7
1960	2	2	Os02t0644466-00,Os02t0645266-00	6
1963	12	2	Os12t0594600-01,Os12t0595600-00	6
2059	11	2	Os11t0588400-01,Os11t0590700-01	6
2081	3	2	Os03t0805700-00,Os03t0806300-00	6
2144	6	2	Os06t0248300-03,Os06t0250000-00	6
2179	7	2	Os07t0110100-01,Os07t0111100-01	8
2180	1	2	Os01t0871700-00,Os01t0872300-00	6
2195	2	2	Os02t0825033-00,Os02t0825850-00	8
2209	11	2	Os11t0549655-01,Os11t0549695-01	8
2210	8	2	Os08t0146001-00,Os08t0149000-01	6
2238	9	2	Os09t0430600-00,Os09t0431750-00	8
2284	11	2	Os11t0532600-01,Os11t0533800-01	9
2314	8	2	Os08t0124651-00,Os08t0125700-00	10
2837	12	2	Os12t0218100-01,Os12t0221400-01	10
2942	1	2	Os01t0113350-00,Os01t0113650-00	6
2976	12	2	Os12t0218300-01,Os12t0221600-01	10
