family_id	chr	gene1	gene2	spacers
1	6	Os06t0108600-00	Os06t0621900-01	2465
1	6	Os06t0621900-01	Os06t0718100-01	805
1	5	Os05t0277000-00	Os05t0477600-01	1213
1	4	Os04t0228400-01	Os04t0583500-01	2110
1	2	Os02t0268600-00	Os02t0744200-01	2478
1	1	Os01t0249100-00	Os01t0274500-00	177
1	1	Os01t0274500-00	Os01t0823100-01	3030
1	3	Os03t0156300-00	Os03t0336400-01	1622
1	3	Os03t0336400-01	Os03t0377100-01	302
1	3	Os03t0377100-01	Os03t0428700-01	306
1	3	Os03t0428700-01	Os03t0822000-02	2038
1	10	Os10t0439200-00	Os10t0535900-00	711
2	4	Os04t0423800-01	Os04t0651000-01	1994
2	6	Os06t0274800-01	Os06t0521400-00	625
2	6	Os06t0522300-01	Os06t0546500-01	112
2	1	Os01t0205900-01	Os01t0263000-00	460
2	1	Os01t0263300-01	Os01t0543100-01	942
2	3	Os03t0339300-02	Os03t0434800-00	611
3	4	Os04t0247700-00	Os04t0375750-00	411
3	1	Os01t0114000-00	Os01t0308700-00	1544
3	1	Os01t0308700-00	Os01t0740150-00	2141
3	12	Os12t0190875-00	Os12t0484375-00	734
3	12	Os12t0484375-00	Os12t0562166-00	378
3	12	Os12t0562166-00	Os12t0598600-00	255
3	12	Os12t0598600-00	Os12t0611500-00	84
3	12	Os12t0611500-00	Os12t0621832-00	96
3	8	Os08t0172566-00	Os08t0283300-00	543
3	8	Os08t0284500-00	Os08t0421600-00	583
3	8	Os08t0421600-00	Os08t0437566-00	124
3	8	Os08t0437566-00	Os08t0504200-00	447
3	6	Os06t0132000-00	Os06t0323550-00	1303
3	11	Os11t0201175-00	Os11t0272675-00	403
3	7	Os07t0220466-00	Os07t0486300-00	690
3	10	Os10t0332733-00	Os10t0412350-00	357
3	10	Os10t0412350-00	Os10t0557133-00	1049
4	2	Os02t0118200-01	Os02t0670100-00	3106
4	1	Os01t0588500-01	Os01t0973500-01	3279
4	10	Os10t0395000-01	Os10t0405100-02	50
4	10	Os10t0405100-02	Os10t0431900-02	164
4	3	Os03t0159100-01	Os03t0179400-01	195
4	3	Os03t0179400-01	Os03t0274800-01	859
4	3	Os03t0274800-01	Os03t0364400-02	739
4	3	Os03t0364400-02	Os03t0407900-01	280
4	3	Os03t0407900-01	Os03t0821900-01	2159
4	9	Os09t0361100-01	Os09t0442100-01	503
4	6	Os06t0168800-01	Os06t0202900-01	270
4	6	Os06t0202900-01	Os06t0663200-01	1940
4	6	Os06t0663200-01	Os06t0703000-01	329
4	6	Os06t0703000-01	Os06t0727400-01	252
4	7	Os07t0613500-01	Os07t0686800-01	622
5	3	Os03t0128700-01	Os03t0688300-01	3326
5	3	Os03t0688300-01	Os03t0788500-01	853
5	3	Os03t0789000-00	Os03t0808600-01	213
5	11	Os11t0136600-00	Os11t0171500-01	263
5	4	Os04t0560600-01	Os04t0584600-02	197
5	7	Os07t0161600-01	Os07t0515100-01	1278
