family_id	chr	gene1	gene2	spacers
1	1	Os01t0104000-01	Os01t0114400-00	101
1	1	Os01t0115500-00	Os01t0117100-00	23
1	1	Os01t0117400-00	Os01t0137250-00	166
1	1	Os01t0137950-01	Os01t0195200-01	495
1	1	Os01t0195200-01	Os01t0247500-01	426
1	1	Os01t0247500-01	Os01t0253000-01	40
1	1	Os01t0253000-01	Os01t0259200-02	44
1	1	Os01t0259200-02	Os01t0267800-00	59
1	1	Os01t0267800-00	Os01t0296000-01	185
1	1	Os01t0296000-01	Os01t0323000-01	142
1	1	Os01t0323100-01	Os01t0364800-00	213
1	1	Os01t0364800-00	Os01t0548600-01	394
1	1	Os01t0548600-01	Os01t0568400-00	125
1	1	Os01t0568400-00	Os01t0580150-00	66
1	1	Os01t0580150-00	Os01t0588500-01	52
1	1	Os01t0588500-01	Os01t0601200-01	84
1	1	Os01t0601200-01	Os01t0631700-01	245
1	1	Os01t0631700-01	Os01t0648600-00	99
1	1	Os01t0648600-00	Os01t0664200-02	129
1	1	Os01t0664200-02	Os01t0691050-00	228
1	1	Os01t0691050-00	Os01t0694000-01	27
1	1	Os01t0694000-01	Os01t0741200-01	408
1	1	Os01t0741200-01	Os01t0789200-01	426
1	1	Os01t0789200-01	Os01t0818600-01	206
1	1	Os01t0819100-01	Os01t0822200-01	22
1	1	Os01t0822200-01	Os01t0870500-01	433
1	1	Os01t0870500-01	Os01t0890100-00	199
1	1	Os01t0890100-00	Os01t0899000-01	74
1	1	Os01t0899000-01	Os01t0927500-02	258
1	1	Os01t0927500-02	Os01t0929200-01	15
1	1	Os01t0929200-01	Os01t0935800-01	71
1	1	Os01t0936100-01	Os01t0973500-01	330
1	3	Os03t0113000-02	Os03t0125600-01	127
1	3	Os03t0125600-01	Os03t0130900-02	64
1	3	Os03t0130900-02	Os03t0132800-01	19
1	3	Os03t0132800-01	Os03t0148700-01	140
1	3	Os03t0148700-01	Os03t0159100-01	90
1	3	Os03t0159100-01	Os03t0170400-01	124
1	3	Os03t0170400-01	Os03t0179400-01	70
1	3	Os03t0179400-01	Os03t0226300-01	431
1	3	Os03t0226300-01	Os03t0227900-00	19
1	3	Os03t0227900-00	Os03t0264300-00	297
