gene1	gene2	spacer_genes
OB01G10390.1	OB01G10400.1	0
OB01G10980.1	OB01G11000.1	1
OB01G10980.1	OB01G11040.1	5
OB01G10980.1	OB01G11050.1	6
OB01G10980.1	OB01G11080.1	9
OB01G10980.1	OB01G11090.1	10
OB01G11000.1	OB01G11040.1	3
OB01G11000.1	OB01G11050.1	4
OB01G11000.1	OB01G11060.1	5
OB01G11000.1	OB01G11080.1	7
OB01G11000.1	OB01G11090.1	8
OB01G11020.1	OB01G11100.1	7
OB01G11040.1	OB01G11050.1	0
OB01G11040.1	OB01G11060.1	1
OB01G11040.1	OB01G11090.1	4
OB01G11040.1	OB01G11130.1	8
OB01G11040.1	OB01G11140.1	9
OB01G11040.1	OB01G11150.1	10
OB01G11050.1	OB01G11080.1	2
OB01G11050.1	OB01G11090.1	3
OB01G11050.1	OB01G11120.1	6
OB01G11050.1	OB01G11130.1	7
OB01G11050.1	OB01G11140.1	8
OB01G11050.1	OB01G11150.1	9
OB01G11060.1	OB01G11090.1	2
OB01G11060.1	OB01G11130.1	6
OB01G11060.1	OB01G11140.1	7
OB01G11080.1	OB01G11090.1	0
OB01G11080.1	OB01G11120.1	3
OB01G11080.1	OB01G11130.1	4
OB01G11080.1	OB01G11140.1	5
OB01G11080.1	OB01G11150.1	6
OB01G11090.1	OB01G11120.1	2
OB01G11090.1	OB01G11130.1	3
OB01G11090.1	OB01G11140.1	4
OB01G11090.1	OB01G11150.1	5
OB01G11120.1	OB01G11140.1	1
OB01G11120.1	OB01G11150.1	2
OB01G11130.1	OB01G11140.1	0
OB01G11130.1	OB01G11150.1	1
OB01G11140.1	OB01G11150.1	0
OB01G11250.1	OB01G11260.1	0
OB01G11250.1	OB01G11270.1	1
OB01G11260.1	OB01G11270.1	0
OB01G11290.1	OB01G11310.1	1
OB01G11470.1	OB01G11480.1	0
OB01G11570.1	OB01G11590.1	1
OB01G11570.1	OB01G11640.1	6
OB01G11570.1	OB01G11650.1	7
